,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,timestamps,floatTimestamps,dateTimestamps,episode,states,actions,rewards,chosen_actions,optimal_actions,desired_goal,achieved_goal,numDemonstrations,steps,seed,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-25 15:22:55.386706944,TASK_BEGIN,17,-1.064759518277193,0.5388479340170959,5.369694170699384,-1.3587721351115278,-1.2659871507661518,0.1251835426230798,1.370643607859347,-0.4382223358052108,2,2024-09-25 15:22:55.744915712,1727277775.7449157,2024-09-25 15:22:55.744915123,0,"[ 1.37715218e+00  6.77207741e-01  5.30824449e-01  1.20521086e+00
  6.72408018e-01  4.24784489e-01 -1.71941315e-01 -4.79972386e-03
 -1.06039960e-01  4.69812811e-04  1.67655087e-04 -1.51013263e-13
  2.32332620e-13 -2.19706788e-15 -9.39413747e-06  5.85768745e-03
  8.21413298e-05  8.45956920e-14 -1.30157107e-13  7.74445521e-19
  9.39413747e-06 -5.85768745e-03 -8.21412550e-05 -8.11492982e-05
  8.16624391e-05]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.99999857  0.11346447 -0.26176447  0.17311189],[1.46417931 0.84059212 0.4820286 ],[1.20521086 0.67240802 0.42470209],19,651,1680,0.7159478945484532,0,0
2,2,2024-09-25 15:22:55.454474240,TASK_BEGIN,17,-1.1734443256388305,0.5620596762764156,6.501540612218553,-1.5653989571061866,-1.3464303312711456,0.177102966918562,0.7001819454121605,-0.2099318744536343,2,2024-09-25 15:22:55.803426048,1727277775.803426,2024-09-25 15:22:55.803426109,0,"[ 1.37715491e+00  6.68924221e-01  5.30706834e-01  1.20521086e+00
  6.72408018e-01  4.24784489e-01 -1.71944052e-01  3.48379617e-03
 -1.05922345e-01  4.74715003e-04  1.63144241e-04 -8.69076419e-14
  1.33710469e-13 -2.19590204e-15 -2.70910136e-05  5.85826170e-03
  8.24549424e-05  4.86807757e-14 -7.49008731e-14  2.14842317e-19
  2.70910136e-05 -5.85826170e-03 -8.24548994e-05 -8.87400729e-05
  8.90073230e-05]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.99999756  0.18495333 -0.2894455   0.17505047],[1.46417931 0.84059212 0.4820286 ],[1.20521086 0.67240802 0.42470209],19,651,1680,0.7252969743753572,0,0
3,3,2024-09-25 15:22:55.522382080,TASK_BEGIN,17,-1.2781721901501768,0.5837657107673788,7.5774351163179805,-1.7628553098162805,-1.4245859341202955,0.2271419130587092,0.0628411521117276,0.008456775827661,2,2024-09-25 15:22:55.803426048,1727277775.803426,2024-09-25 15:22:55.803426109,0,"[ 1.37715491e+00  6.68924221e-01  5.30706834e-01  1.20521086e+00
  6.72408018e-01  4.24784489e-01 -1.71944052e-01  3.48379617e-03
 -1.05922345e-01  4.74715003e-04  1.63144241e-04 -8.69076419e-14
  1.33710469e-13 -2.19590204e-15 -2.70910136e-05  5.85826170e-03
  8.24549424e-05  4.86807757e-14 -7.49008731e-14  2.14842317e-19
  2.70910136e-05 -5.85826170e-03 -8.24548994e-05 -8.87400729e-05
  8.90073230e-05]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.99999756  0.18495333 -0.2894455   0.17505047],[1.46417931 0.84059212 0.4820286 ],[1.20521086 0.67240802 0.42470209],19,651,1680,0.7252969743753572,0,0
4,4,2024-09-25 15:22:55.575217152,TASK_BEGIN,17,-1.3775313390093822,0.6033797971470548,8.573406671887412,-1.9469581373478408,-1.499910474552489,0.2745537882209004,-0.5284700119008562,0.2130218238857908,2,2024-09-25 15:22:55.803426048,1727277775.803426,2024-09-25 15:22:55.803426109,0,"[ 1.37715491e+00  6.68924221e-01  5.30706834e-01  1.20521086e+00
  6.72408018e-01  4.24784489e-01 -1.71944052e-01  3.48379617e-03
 -1.05922345e-01  4.74715003e-04  1.63144241e-04 -8.69076419e-14
  1.33710469e-13 -2.19590204e-15 -2.70910136e-05  5.85826170e-03
  8.24549424e-05  4.86807757e-14 -7.49008731e-14  2.14842317e-19
  2.70910136e-05 -5.85826170e-03 -8.24548994e-05 -8.87400729e-05
  8.90073230e-05]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.99999756  0.18495333 -0.2894455   0.17505047],[1.46417931 0.84059212 0.4820286 ],[1.20521086 0.67240802 0.42470209],19,651,1680,0.7252969743753572,0,0
5,5,2024-09-25 15:22:55.658035200,TASK_BEGIN,17,-1.4701983599778663,0.6204327857134878,9.470329577369856,-2.114260663042064,-1.5721282358320534,0.3187979595074806,-1.0652638182497784,0.4010514939903337,2,2024-09-25 15:22:55.803426048,1727277775.803426,2024-09-25 15:22:55.803426109,0,"[ 1.37715491e+00  6.68924221e-01  5.30706834e-01  1.20521086e+00
  6.72408018e-01  4.24784489e-01 -1.71944052e-01  3.48379617e-03
 -1.05922345e-01  4.74715003e-04  1.63144241e-04 -8.69076419e-14
  1.33710469e-13 -2.19590204e-15 -2.70910136e-05  5.85826170e-03
  8.24549424e-05  4.86807757e-14 -7.49008731e-14  2.14842317e-19
  2.70910136e-05 -5.85826170e-03 -8.24548994e-05 -8.87400729e-05
  8.90073230e-05]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.99999756  0.18495333 -0.2894455   0.17505047],[1.46417931 0.84059212 0.4820286 ],[1.20521086 0.67240802 0.42470209],19,651,1680,0.7252969743753572,0,0
6,6,2024-09-25 15:22:55.725864960,TASK_BEGIN,17,-1.5549933952282036,0.6345962623774754,10.253867775866174,-2.2620914645741323,-1.6412424737368394,0.3595472459414904,-1.543678686111529,0.5711075658837971,2,2024-09-25 15:22:55.803426048,1727277775.803426,2024-09-25 15:22:55.803426109,0,"[ 1.37715491e+00  6.68924221e-01  5.30706834e-01  1.20521086e+00
  6.72408018e-01  4.24784489e-01 -1.71944052e-01  3.48379617e-03
 -1.05922345e-01  4.74715003e-04  1.63144241e-04 -8.69076419e-14
  1.33710469e-13 -2.19590204e-15 -2.70910136e-05  5.85826170e-03
  8.24549424e-05  4.86807757e-14 -7.49008731e-14  2.14842317e-19
  2.70910136e-05 -5.85826170e-03 -8.24548994e-05 -8.87400729e-05
  8.90073230e-05]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.99999756  0.18495333 -0.2894455   0.17505047],[1.46417931 0.84059212 0.4820286 ],[1.20521086 0.67240802 0.42470209],19,651,1680,0.7252969743753572,0,0
7,7,2024-09-25 15:22:56.667716096,TASK_BEGIN,17,-1.6309181640152175,0.6456962639148194,10.91441805779032,-2.388589700351033,-1.7075729123470085,0.3966817699879357,-1.9640080005964415,0.7228830816967226,2,2024-09-25 15:22:57.037393920,1727277777.037394,2024-09-25 15:22:57.037394126,0,"[ 1.34522936e+00  6.12569136e-01  5.27173238e-01  1.20521085e+00
  6.72408010e-01  4.24784490e-01 -1.40018506e-01  5.98388736e-02
 -1.02388749e-01  2.25149041e-04  4.74809469e-04  2.46498332e-07
 -1.98764128e-07  2.22913667e-14  2.40352452e-03  9.68895391e-04
  8.00976135e-05 -1.38090514e-07  1.11349397e-07  1.01023926e-18
 -2.40352173e-03 -9.68891938e-04 -8.00978106e-05 -1.18197410e-04
  1.18312277e-04]","[-0.1127471923828125, -0.053924560546875, -0.0009765625, 0.0]",-1.0,"[-0.1127471923828125, -0.053924560546875, -0.0009765625, 0.0]",[-0.99814385  0.5020451  -0.48818615  0.32185087],[1.46417931 0.84059212 0.4820286 ],[1.20521086 0.67240802 0.42470209],19,651,1680,0.7341601507748751,0,0
8,8,2024-09-25 15:22:56.736318208,TASK_BEGIN,17,-1.6971591568012638,0.6537089899655716,11.447286680143089,-2.492736801625226,-1.7717810167564536,0.4302660267571738,-2.329630455276218,0.8568878504732685,2,2024-09-25 15:22:57.093308928,1727277777.093309,2024-09-25 15:22:57.093307945,0,"[ 1.34496908e+00  6.12493292e-01  5.26996864e-01  1.20521086e+00
  6.72408012e-01  4.24784489e-01 -1.39758226e-01  5.99147200e-02
 -1.02212375e-01  1.07495778e-04  5.92550334e-04  1.41861162e-07
 -1.14389862e-07  5.90564922e-15 -3.14980877e-04 -1.29942407e-04
  1.41193263e-04 -7.94718619e-08  6.40821997e-08  1.27713712e-18
  3.14982480e-04  1.29944394e-04 -1.41193376e-04 -8.77902523e-05
  8.78500721e-05]","[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.9969279   0.5100245  -0.49684548  0.33562386],[1.46417931 0.84059212 0.4820286 ],[1.20521086 0.67240802 0.42470209],19,651,1680,0.7655061196434513,0,0
9,9,2024-09-25 15:22:56.804146944,TASK_BEGIN,17,-1.75307364134093,0.6587393769502315,11.852826136681438,-2.574347449760526,-1.834836382603931,0.4605066086839854,-2.6456393752457696,0.9740483181965552,2,2024-09-25 15:22:57.093308928,1727277777.093309,2024-09-25 15:22:57.093307945,0,"[ 1.34496908e+00  6.12493292e-01  5.26996864e-01  1.20521086e+00
  6.72408012e-01  4.24784489e-01 -1.39758226e-01  5.99147200e-02
 -1.02212375e-01  1.07495778e-04  5.92550334e-04  1.41861162e-07
 -1.14389862e-07  5.90564922e-15 -3.14980877e-04 -1.29942407e-04
  1.41193263e-04 -7.94718619e-08  6.40821997e-08  1.27713712e-18
  3.14982480e-04  1.29944394e-04 -1.41193376e-04 -8.77902523e-05
  8.78500721e-05]","[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.9969279   0.5100245  -0.49684548  0.33562386],[1.46417931 0.84059212 0.4820286 ],[1.20521086 0.67240802 0.42470209],19,651,1680,0.7655061196434513,0,0
10,10,2024-09-25 15:22:56.857275904,TASK_BEGIN,17,-1.7981879631250606,0.660993850881327,12.136158186088954,-2.633992871584781,-1.897898198240019,0.4876995273255099,-2.917610715125264,1.0753334339057918,2,2024-09-25 15:22:57.093308928,1727277777.093309,2024-09-25 15:22:57.093307945,0,"[ 1.34496908e+00  6.12493292e-01  5.26996864e-01  1.20521086e+00
  6.72408012e-01  4.24784489e-01 -1.39758226e-01  5.99147200e-02
 -1.02212375e-01  1.07495778e-04  5.92550334e-04  1.41861162e-07
 -1.14389862e-07  5.90564922e-15 -3.14980877e-04 -1.29942407e-04
  1.41193263e-04 -7.94718619e-08  6.40821997e-08  1.27713712e-18
  3.14982480e-04  1.29944394e-04 -1.41193376e-04 -8.77902523e-05
  8.78500721e-05]","[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.9969279   0.5100245  -0.49684548  0.33562386],[1.46417931 0.84059212 0.4820286 ],[1.20521086 0.67240802 0.42470209],19,651,1680,0.7655061196434513,0,0
