,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,desired_goal,states,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-16 22:09:56.819096064,TASK_BEGIN,7,-0.5979720603741738,0.4071242448516446,-1.099228287611952,0.2120514120303761,2.983987508364288,-2.179993412556056,-21.46289674180345,-3.867822008600993,2,2024-09-16 22:10:09.925170898,1726524609.9251711,2024-09-16 22:10:09.925171200,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-2.9701,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.43643567 -0.9999442  -0.48364013  0.18354371],[1.20801706 0.71086284 0.42469975],"[ 1.34213190e+00  7.49192364e-01  5.34048249e-01  1.25749725e+00
  6.04927182e-01  4.24769027e-01 -8.46346527e-02 -1.44265182e-01
 -1.09279222e-01  2.28244926e-06  1.84168845e-06 -1.65741696e-08
  2.54987225e-08 -1.98263627e-15 -4.40653110e-05 -2.30448723e-05
  1.68897561e-04  9.31711992e-09 -1.43340307e-08  1.60758091e-18
  4.40649526e-05  2.30446394e-05 -1.60175729e-04  2.19465051e-07
 -1.15623559e-07]",0.8855982162737421,0,0
2,2,2024-09-16 22:09:56.896756224,TASK_BEGIN,7,-0.5596955949950432,0.4157114641640652,-0.9665384835347884,0.1547333257585229,0.3506798866439551,-1.7085242694298148,-21.667837019028315,-5.418455092699293,2,2024-09-16 22:10:09.925170898,1726524609.9251711,2024-09-16 22:10:09.925171200,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-2.9701,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.43643567 -0.9999442  -0.48364013  0.18354371],[1.20801706 0.71086284 0.42469975],"[ 1.34213190e+00  7.49192364e-01  5.34048249e-01  1.25749725e+00
  6.04927182e-01  4.24769027e-01 -8.46346527e-02 -1.44265182e-01
 -1.09279222e-01  2.28244926e-06  1.84168845e-06 -1.65741696e-08
  2.54987225e-08 -1.98263627e-15 -4.40653110e-05 -2.30448723e-05
  1.68897561e-04  9.31711992e-09 -1.43340307e-08  1.60758091e-18
  4.40649526e-05  2.30446394e-05 -1.60175729e-04  2.19465051e-07
 -1.15623559e-07]",0.8855982162737421,0,0
3,3,2024-09-16 22:09:57.810347264,TASK_BEGIN,7,-0.5255695677233277,0.4248389923226102,-0.8513132164768349,0.1019886584902892,-2.1201925055312576,-1.2643184788216562,-21.81934108617691,-6.890392994118914,2,2024-09-16 22:10:11.232122803,1726524611.2321231,2024-09-16 22:10:11.232123136,1,"[-0.061767578125, -0.25, -0.0009765625, 0.0]",-1.0,-22.995685419484467,"[-0.061767578125, -0.25, -0.0009765625, 0.0]",[-0.99999744  0.21935885 -0.5561838   0.20790873],[1.20801706 0.71086284 0.42469975],"[ 1.37009658e+00  6.04542115e-01  5.30754474e-01  1.25749724e+00
  6.04927181e-01  4.24784489e-01 -1.12599339e-01  3.85066431e-04
 -1.05969985e-01  4.01241819e-04  1.26037734e-04 -5.00198421e-14
  7.69512651e-14 -2.20620279e-15  1.44977234e-03  5.85517101e-03
  8.13445135e-05  2.80323188e-14 -4.31064126e-14  3.49387206e-18
 -1.44977234e-03 -5.85517101e-03 -8.13444889e-05 -9.71267457e-05
  9.71303286e-05]",0.8491125577408128,0,0
4,4,2024-09-16 22:09:57.877124096,TASK_BEGIN,7,-0.497715185009442,0.4347504834223483,-0.7579363301234399,0.0548470129637714,-4.36663835094976,-0.8585331589888594,-21.912173167936125,-8.241849665449733,2,2024-09-16 22:10:11.289673096,1726524611.2896733,2024-09-16 22:10:11.289673216,1,"[-0.061767578125, -0.25, -0.0009765625, 0.0]",-1.0,-23.76572856528962,"[-0.061767578125, -0.25, -0.0009765625, 0.0]",[-0.9999956   0.26986727 -0.57453156  0.26275453],[1.20801706 0.71086284 0.42469975],"[ 1.36804741e+00  5.96260254e-01  5.30640207e-01  1.25749724e+00
  6.04927181e-01  4.24784489e-01 -1.10550163e-01  8.66692768e-03
 -1.05855718e-01  3.93970138e-04  1.33312162e-04 -2.87810455e-14
  4.42849321e-14 -2.20681283e-15  1.44860811e-03  5.85546729e-03
  8.14768580e-05  1.61247333e-14 -2.48086590e-14  1.12215366e-18
 -1.44860811e-03 -5.85546729e-03 -8.14768439e-05 -9.71118621e-05
  9.71137537e-05]",0.8586711635083846,0,0
5,5,2024-09-16 22:09:57.952832000,TASK_BEGIN,7,-0.4778156414281535,0.4455471308773532,-0.6888751487532837,0.0136323394867047,-6.342094307847355,-0.5006738734691951,-21.943506349216108,-9.438737995280327,2,2024-09-16 22:10:11.347770020,1726524611.3477705,2024-09-16 22:10:11.347770368,1,"[-0.0892181396484375, -0.25, -0.0009765625, 0.0]",-1.0,-24.528071279636723,"[-0.0892181396484375, -0.25, -0.0009765625, 0.0]",[-0.99999326  0.34514654 -0.60106754  0.30697972],[1.20801706 0.71086284 0.42469975],"[ 1.36518073e+00  5.87975314e-01  5.30528951e-01  1.25749724e+00
  6.04927181e-01  4.24784489e-01 -1.07683482e-01  1.69518671e-02
 -1.05744462e-01  3.86793245e-04  1.40490513e-04 -1.65600688e-14
  2.54857138e-14 -2.20789363e-15  2.16893003e-03  5.85184351e-03
  8.02377995e-05  9.27744933e-15 -1.42827958e-14 -3.02199852e-18
 -2.16893003e-03 -5.85184351e-03 -8.02377914e-05 -9.73143887e-05
  9.73154001e-05]",0.860887718263774,0,0
6,6,2024-09-16 22:09:58.014827776,TASK_BEGIN,7,-0.4669448108195299,0.4571709956683475,-0.6447143131008334,-0.021967476628935,-8.017098484744695,-0.1982269703690952,-21.905811461866826,-10.4577917025165,2,2024-09-16 22:10:11.405939209,1726524611.405939,2024-09-16 22:10:11.405939200,1,"[-0.12451171875, -0.24411773681640625, -0.0009765625, 0.0]",-1.0,-25.282790566840355,"[-0.12451171875, -0.24411773681640625, -0.0009765625, 0.0]",[-0.9999894   0.4024223  -0.64868444  0.33184838],[1.20801706 0.71086284 0.42469975],"[ 1.36118006e+00  5.79869345e-01  5.30421170e-01  1.25749724e+00
  6.04927181e-01  4.24784489e-01 -1.03682811e-01  2.50578359e-02
 -1.05636681e-01  3.74230291e-04  1.53054252e-04 -9.52485404e-15
  1.46668974e-14 -2.20756488e-15  3.01335528e-03  5.69513305e-03
  7.93385598e-05  5.33832933e-15 -8.21194270e-15 -2.18059747e-18
 -3.01335528e-03 -5.69513305e-03 -7.93385552e-05 -1.00114435e-04
  1.00114987e-04]",0.8646647853664243,0,0
7,7,2024-09-16 22:09:58.075502080,TASK_BEGIN,7,-0.4654461543017532,0.4694028394122589,-0.6243474931944196,-0.0527841728864779,-9.379228177988796,0.0436145602986412,-21.783597220219523,-11.28794323332266,2,2024-09-16 22:10:11.462871094,1726524611.4628713,2024-09-16 22:10:11.462871296,1,"[-0.1833343505859375, -0.20882415771484375, -0.0009765625, 0.0]",-1.0,-26.02996266117195,"[-0.1833343505859375, -0.20882415771484375, -0.0009765625, 0.0]",[-0.9999791  0.4677978 -0.7449436  0.3400564],[1.20801706 0.71086284 0.42469975],"[ 1.35533691e+00  5.72856293e-01  5.30319853e-01  1.25749724e+00
  6.04927181e-01  4.24784489e-01 -9.78396704e-02  3.20708886e-02
 -1.05535364e-01  3.31787575e-04  1.95497399e-04 -5.47655812e-15
  8.44275109e-15 -2.20752862e-15  4.46359751e-03  4.78590564e-03
  7.73696106e-05  3.07407079e-15 -4.73356796e-15  1.46573265e-18
 -4.46359751e-03 -4.78590564e-03 -7.73696079e-05 -1.13335854e-04
  1.13336160e-04]",0.868281898313741,0,0
8,8,2024-09-16 22:09:58.152724224,TASK_BEGIN,7,-0.4729007199005177,0.4818790935868128,-0.6251957563194358,-0.0800533236216285,-10.431585938181696,0.2221013551427831,-21.55540583938608,-11.929687548263388,2,2024-09-16 22:10:11.576705078,1726524611.576705,2024-09-16 22:10:11.576705024,1,"[-0.226470947265625, -0.1558837890625, -0.0009765625, 0.0]",-1.0,-27.501966404214627,"[-0.226470947265625, -0.1558837890625, -0.0009765625, 0.0]",[-0.99924767  0.5755268  -0.932553    0.35576734],[1.20801706 0.71086284 0.42469975],"[ 1.34146541e+00  5.61419138e-01  5.30120780e-01  1.25749724e+00
  6.04927181e-01  4.24784489e-01 -8.39681705e-02  4.35080436e-02
 -1.05336291e-01  2.26442866e-04  3.00842489e-04 -1.81677209e-15
  2.79655089e-15 -2.20481600e-15  5.39823120e-03  3.56251220e-03
  7.65772223e-05  1.00695513e-15 -1.56518287e-15  4.96740419e-19
 -5.39823120e-03 -3.56251220e-03 -7.65772214e-05 -1.02128038e-04
  1.02128141e-04]",0.8872310071680152,0,0
9,9,2024-09-16 22:09:58.213889024,TASK_BEGIN,7,-0.488206302189846,0.4941362455065159,-0.6433542352490751,-0.1052999440611604,-11.190251043352436,0.3369355167615868,-21.200201442917248,-12.392805881567725,2,2024-09-16 22:10:11.632694092,1726524611.6326947,2024-09-16 22:10:11.632694784,1,"[-0.25, -0.10882568359375, -0.0009765625, 0.0]",-1.0,-28.22694674017248,"[-0.25, -0.10882568359375, -0.0009765625, 0.0]",[-0.9883471   0.6093235  -0.9711861   0.37752372],[1.20801706 0.71086284 0.42469975],"[ 1.33335893e+00  5.57689438e-01  5.30024646e-01  1.25749724e+00
  6.04927181e-01  4.24784489e-01 -7.58616883e-02  4.72377430e-02
 -1.05240156e-01  1.50101128e-04  3.77184312e-04 -1.04758326e-15
  1.61035399e-15 -2.20609450e-15  5.94590989e-03  2.41493800e-03
  7.57134993e-05  5.85119924e-16 -9.00238979e-16  4.44290410e-19
 -5.94590989e-03 -2.41493800e-03 -7.57134988e-05 -1.01807471e-04
  1.01807534e-04]",0.8963819205364197,0,0
10,10,2024-09-16 22:09:59.166874112,TASK_BEGIN,7,-0.5097688748688942,0.5056834475751053,-0.673733415145337,-0.1301921565719286,-11.681133590590328,0.3901229109108827,-20.70604296504225,-12.693273292066376,2,2024-09-16 22:10:11.860696045,1726524611.8606966,2024-09-16 22:10:11.860696576,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-31.05509141309219,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.83603084  0.61666733 -0.993055    0.43062815],[1.20801706 0.71086284 0.42469975],"[ 1.32473523e+00  5.57300853e-01  5.29382520e-01  1.25749724e+00
  6.04927181e-01  4.24784489e-01 -6.72379853e-02  4.76263284e-02
 -1.04598031e-01  1.87876241e-05  6.68522744e-04 -1.22458491e-16
  1.73434603e-16 -2.20616961e-15 -4.99051320e-05 -1.70139202e-05
  1.55796782e-04  6.04578431e-17 -1.01217081e-16  2.81181165e-18
  4.99051320e-05  1.70139202e-05 -1.55796782e-04  4.60837612e-06
  1.55299195e-05]",0.9071096431480974,0,0
