,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,timestamps,floatTimestamps,dateTimestamps,episode,states,actions,rewards,chosen_actions,optimal_actions,desired_goal,achieved_goal,numDemonstrations,steps,seed,continuous_optimal,binary_optimal,discrete_optimal
11,179,2024-09-18 22:43:50.447152128,TASK_BEGIN,10,1.1058251248684527,0.4488676937279652,-1.064121707623256,0.261904658932194,-0.7952246802969889,-0.3747166894860788,3.4317408157762115,0.0242094641595951,3,2024-09-18 22:43:50.192142848,1726699430.192143,2024-09-18 22:43:50.192141809,1,"[ 1.34427823e+00  7.24800454e-01  5.34336355e-01  1.26943632e+00
  8.83500817e-01  4.24769027e-01 -7.48419099e-02  1.58700364e-01
 -1.09567328e-01  4.28328668e-04  6.82347338e-05 -1.65741696e-08
  2.54987225e-08 -1.97903017e-15  6.41703674e-05  5.86546918e-03
  9.30112444e-05  9.31711992e-09 -1.43340307e-08 -7.89480554e-19
 -6.41707257e-05 -5.86546941e-03 -8.42894125e-05 -4.79598767e-05
  1.04237949e-04]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.33481935  0.99804133 -0.29142198  0.23249133],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.6267942004568651,0,0
12,180,2024-09-18 22:43:50.515250944,TASK_BEGIN,10,1.095924444294079,0.4716918501539501,-0.9174368764566764,0.22837016300425,-0.7655209895787696,-0.3440392515186185,3.437229339825722,-0.0197090876523981,3,2024-09-18 22:43:50.192142848,1726699430.192143,2024-09-18 22:43:50.192141809,1,"[ 1.34427823e+00  7.24800454e-01  5.34336355e-01  1.26943632e+00
  8.83500817e-01  4.24769027e-01 -7.48419099e-02  1.58700364e-01
 -1.09567328e-01  4.28328668e-04  6.82347338e-05 -1.65741696e-08
  2.54987225e-08 -1.97903017e-15  6.41703674e-05  5.86546918e-03
  9.30112444e-05  9.31711992e-09 -1.43340307e-08 -7.89480554e-19
 -6.41707257e-05 -5.86546941e-03 -8.42894125e-05 -4.79598767e-05
  1.04237949e-04]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.33481935  0.99804133 -0.29142198  0.23249133],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.6267942004568651,0,0
13,181,2024-09-18 22:43:50.576487936,TASK_BEGIN,10,1.0859689020719432,0.4957994135707598,-0.8053688646182484,0.195816676012019,-0.7310862918588575,-0.3136295739263315,3.4111778293455486,-0.0586417280693853,3,2024-09-18 22:43:50.192142848,1726699430.192143,2024-09-18 22:43:50.192141809,1,"[ 1.34427823e+00  7.24800454e-01  5.34336355e-01  1.26943632e+00
  8.83500817e-01  4.24769027e-01 -7.48419099e-02  1.58700364e-01
 -1.09567328e-01  4.28328668e-04  6.82347338e-05 -1.65741696e-08
  2.54987225e-08 -1.97903017e-15  6.41703674e-05  5.86546918e-03
  9.30112444e-05  9.31711992e-09 -1.43340307e-08 -7.89480554e-19
 -6.41707257e-05 -5.86546941e-03 -8.42894125e-05 -4.79598767e-05
  1.04237949e-04]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.33481935  0.99804133 -0.29142198  0.23249133],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.6267942004568651,0,0
14,182,2024-09-18 22:43:51.525959936,TASK_BEGIN,10,1.076769967442828,0.5206066672094294,-0.7360357336545232,0.1657288845338614,-0.6935433451672689,-0.2844031509664483,3.3492868533392155,-0.0899773654197715,3,2024-09-18 22:43:51.161404928,1726699431.1614048,2024-09-18 22:43:51.161404016,1,"[ 1.35997453e+00  7.81144905e-01  5.31529917e-01  1.26943632e+00
  8.83500817e-01  4.24784488e-01 -9.05382089e-02  1.02355912e-01
 -1.06745429e-01  8.86916385e-05  1.06002061e-03 -1.37667396e-12
  2.11794603e-12 -2.19048320e-15 -3.80603176e-05 -5.55158079e-03
  8.14606765e-05  7.71222521e-13 -1.18649486e-12 -3.71846603e-18
  3.80603176e-05  5.55158079e-03 -8.14599864e-05  1.02762962e-04
 -9.80921320e-05]","[0.0009765625, 0.23822784423828125, -0.0009765625, 0.0]",-1.0,"[0.0009765625, 0.23822784423828125, -0.0009765625, 0.0]",[-0.42979735  0.89106447 -0.26582375  0.27576536],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.5240029966946312,0,0
15,183,2024-09-18 22:43:51.591496192,TASK_BEGIN,10,1.0695008001531845,0.5453809871064041,-0.7152666925404717,0.1396545882930103,-0.6548417779077206,-0.2572947488034721,3.2496004708790736,-0.1116097011743993,3,2024-09-18 22:43:51.444421120,1726699431.444421,2024-09-18 22:43:51.444419885,1,"[ 1.35329957e+00  8.14137892e-01  5.30974623e-01  1.26943632e+00
  8.83500817e-01  4.24784489e-01 -8.38632532e-02  6.93629255e-02
 -1.06190134e-01  1.72178327e-04  9.83682164e-04 -8.69097842e-14
  1.33705666e-13 -2.19171966e-15 -8.06120100e-05 -5.81120831e-03
  8.22649462e-05  4.86951267e-14 -7.49070245e-14  1.20490509e-18
  8.06120100e-05  5.81120831e-03 -8.22649033e-05  5.80790588e-05
 -5.79001133e-05]","[0.0009765625, 0.244110107421875, -0.0009765625, 0.0]",-1.0,"[0.0009765625, 0.244110107421875, -0.0009765625, 0.0]",[-0.46805936  0.82140595 -0.31212407  0.33394793],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.495323502541731,0,0
16,184,2024-09-18 22:43:51.653575936,TASK_BEGIN,10,1.0655692716782543,0.5692781313918023,-0.7459026811050319,0.1191300836625652,-0.6170912462038114,-0.2332053886272405,3.112731536552213,-0.1221268056007008,3,2024-09-18 22:43:51.444421120,1726699431.444421,2024-09-18 22:43:51.444419885,1,"[ 1.35329957e+00  8.14137892e-01  5.30974623e-01  1.26943632e+00
  8.83500817e-01  4.24784489e-01 -8.38632532e-02  6.93629255e-02
 -1.06190134e-01  1.72178327e-04  9.83682164e-04 -8.69097842e-14
  1.33705666e-13 -2.19171966e-15 -8.06120100e-05 -5.81120831e-03
  8.22649462e-05  4.86951267e-14 -7.49070245e-14  1.20490509e-18
  8.06120100e-05  5.81120831e-03 -8.22649033e-05  5.80790588e-05
 -5.79001133e-05]","[0.0009765625, 0.244110107421875, -0.0009765625, 0.0]",-1.0,"[0.0009765625, 0.244110107421875, -0.0009765625, 0.0]",[-0.46805936  0.82140595 -0.31212407  0.33394793],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.495323502541731,0,0
17,185,2024-09-18 22:43:51.728667904,TASK_BEGIN,10,1.0664226649280228,0.5913965222446849,-0.8274583826935147,0.1055763322639463,-0.5823777362121177,-0.212950949438777,2.941785294087641,-0.12090595895312,3,2024-09-18 22:43:51.444421120,1726699431.444421,2024-09-18 22:43:51.444419885,1,"[ 1.35329957e+00  8.14137892e-01  5.30974623e-01  1.26943632e+00
  8.83500817e-01  4.24784489e-01 -8.38632532e-02  6.93629255e-02
 -1.06190134e-01  1.72178327e-04  9.83682164e-04 -8.69097842e-14
  1.33705666e-13 -2.19171966e-15 -8.06120100e-05 -5.81120831e-03
  8.22649462e-05  4.86951267e-14 -7.49070245e-14  1.20490509e-18
  8.06120100e-05  5.81120831e-03 -8.22649033e-05  5.80790588e-05
 -5.79001133e-05]","[0.0009765625, 0.244110107421875, -0.0009765625, 0.0]",-1.0,"[0.0009765625, 0.244110107421875, -0.0009765625, 0.0]",[-0.46805936  0.82140595 -0.31212407  0.33394793],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.495323502541731,0,0
18,186,2024-09-18 22:43:51.793092096,TASK_BEGIN,10,1.0733088406703348,0.6108482248860105,-0.9562382480062032,0.1001707836618453,-0.5526003646822544,-0.1972179528891831,2.7420435703672155,-0.1081209762583459,3,2024-09-18 22:43:51.444421120,1726699431.444421,2024-09-18 22:43:51.444419885,1,"[ 1.35329957e+00  8.14137892e-01  5.30974623e-01  1.26943632e+00
  8.83500817e-01  4.24784489e-01 -8.38632532e-02  6.93629255e-02
 -1.06190134e-01  1.72178327e-04  9.83682164e-04 -8.69097842e-14
  1.33705666e-13 -2.19171966e-15 -8.06120100e-05 -5.81120831e-03
  8.22649462e-05  4.86951267e-14 -7.49070245e-14  1.20490509e-18
  8.06120100e-05  5.81120831e-03 -8.22649033e-05  5.80790588e-05
 -5.79001133e-05]","[0.0009765625, 0.244110107421875, -0.0009765625, 0.0]",-1.0,"[0.0009765625, 0.244110107421875, -0.0009765625, 0.0]",[-0.46805936  0.82140595 -0.31212407  0.33394793],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.495323502541731,0,0
19,187,2024-09-18 22:43:51.855365888,TASK_BEGIN,10,1.0870502789738294,0.6268374799390272,-1.1258575474907333,0.1037153328797148,-0.5293363534628499,-0.1865295146330337,2.5205348470190816,-0.0847018342182019,3,2024-09-18 22:43:51.499469056,1726699431.499469,2024-09-18 22:43:51.499468957,1,"[ 1.35331092e+00  8.22294312e-01  5.30858020e-01  1.26943632e+00
  8.83500817e-01  4.24784489e-01 -8.38745994e-02  6.12065046e-02
 -1.06073531e-01  1.52027876e-04  1.00396910e-03 -5.00136528e-14
  7.69477985e-14 -2.19099157e-15 -1.76183679e-05 -5.76190516e-03
  8.17638535e-05  2.80173575e-14 -4.31035595e-14  5.22355297e-19
  1.76183679e-05  5.76190516e-03 -8.17638289e-05  7.71329276e-05
 -7.70397131e-05]","[0.0009765625, 0.24607086181640625, -0.0009765625, 0.0]",-1.0,"[0.0009765625, 0.24607086181640625, -0.0009765625, 0.0]",[-0.48117116  0.79384696 -0.32564944  0.33482698],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.49522678837417394,0,0
20,188,2024-09-18 22:43:51.932900864,TASK_BEGIN,10,1.1078930726074343,0.6387300933115783,-1.32791793686128,0.1165201914542099,-0.5137174677743161,-0.1812226897763555,2.2856837517619084,-0.0522844009577153,3,2024-09-18 22:43:51.555453696,1726699431.5554538,2024-09-18 22:43:51.555452844,1,"[ 1.35331377e+00  8.30324955e-01  5.30741121e-01  1.26943632e+00
  8.83500817e-01  4.24784489e-01 -8.38774560e-02  5.31758620e-02
 -1.05956632e-01  1.48639677e-04  1.00742840e-03 -2.87849835e-14
  4.42832310e-14 -2.18949768e-15 -2.54180876e-05 -5.66552830e-03
  8.20244104e-05  1.61209614e-14 -2.48146391e-14  1.13755387e-18
  2.54180876e-05  5.66552830e-03 -8.20243963e-05  8.74481815e-05
 -8.73996136e-05]","[0.0009765625, 0.24214935302734375, -0.0009765625, 0.0]",-1.0,"[0.0009765625, 0.24214935302734375, -0.0009765625, 0.0]",[-0.50498456  0.7490857  -0.3547837   0.3311831 ],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.49017319624119776,0,0
