,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,desired_goal,states,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-23 20:43:09.154323968,TASK_BEGIN,15,-0.4211745286500316,0.0678059650577088,-3.293035481121683,-0.0578696131198183,0.1362877694375258,0.0258646869819253,1.263608546428287,-2.6930947548081443,1,2024-09-23 20:43:02.256576172,1727124182.2565765,2024-09-23 20:43:02.256576512,0,[-0.07258104 -0.275365    0.34735537 -0.12264801],-0.0,-4.803465209301,[-0.07258104 -0.275365    0.34735537 -0.12264801],[-0.07258104 -0.275365    0.34735537 -0.12264801],[1.28841016 0.75460077 0.49105753],"[ 1.29221883e+00  7.73255953e-01  4.87423986e-01  1.28463429e+00
  7.74889854e-01  4.71443595e-01 -7.58453879e-03  1.63390189e-03
 -1.59803910e-02  2.56704510e-02  2.13657662e-02 -6.40594773e-04
  5.17752288e-03  1.95547526e-02  9.85386048e-05 -1.76152100e-03
 -6.40123564e-05 -2.13234742e-03 -1.55637772e-04 -4.56314569e-03
 -2.28969927e-03 -5.32114420e-03  6.94049175e-03 -1.25365477e-03
  3.26907815e-03]",0.695024847984314,0,0
2,2,2024-09-23 20:43:09.223891200,TASK_BEGIN,15,-0.4963697007961434,0.0656359789333831,-4.114553645215172,0.1014770172353567,0.2733718745947316,-0.0378271119431776,2.3469074157479803,-2.5641671346645305,1,2024-09-23 20:43:02.256576172,1727124182.2565765,2024-09-23 20:43:02.256576512,0,[-0.07258104 -0.275365    0.34735537 -0.12264801],-0.0,-4.803465209301,[-0.07258104 -0.275365    0.34735537 -0.12264801],[-0.07258104 -0.275365    0.34735537 -0.12264801],[1.28841016 0.75460077 0.49105753],"[ 1.29221883e+00  7.73255953e-01  4.87423986e-01  1.28463429e+00
  7.74889854e-01  4.71443595e-01 -7.58453879e-03  1.63390189e-03
 -1.59803910e-02  2.56704510e-02  2.13657662e-02 -6.40594773e-04
  5.17752288e-03  1.95547526e-02  9.85386048e-05 -1.76152100e-03
 -6.40123564e-05 -2.13234742e-03 -1.55637772e-04 -4.56314569e-03
 -2.28969927e-03 -5.32114420e-03  6.94049175e-03 -1.25365477e-03
  3.26907815e-03]",0.695024847984314,0,0
3,3,2024-09-23 20:43:09.291673856,TASK_BEGIN,15,-0.5680979324606159,0.0634589102250808,-4.898961003050554,0.2512093091917781,0.4034615074941132,-0.0972506277708159,3.379864830440516,-2.4437533202000106,1,2024-09-23 20:43:02.687331055,1727124182.687331,2024-09-23 20:43:02.687331072,0,[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],-0.0,-4.6141895142283555,[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],[1.28841016 0.75460077 0.49105753],"[ 1.28411719e+00  7.66304955e-01  5.06388247e-01  1.27666182e+00
  7.64514774e-01  4.90276326e-01 -7.45536830e-03 -1.79018065e-03
 -1.61119214e-02  2.23834026e-02  2.57313716e-02 -6.31936558e-05
  4.52699775e-03  1.58104565e-02  2.90844258e-05  6.59823364e-04
 -4.51761147e-05 -2.17977200e-03 -1.58895673e-04 -1.10138438e-04
 -3.52160722e-04 -9.40199976e-04  1.94096965e-03  7.38819747e-04
 -7.39463215e-04]",0.658203661441803,0,0
4,4,2024-09-23 20:43:09.359337984,TASK_BEGIN,15,-0.6345578524054183,0.0612006304741428,-5.630601830304015,0.3876462918977586,0.5235446008247086,-0.1508381150437452,4.342787737940512,-2.333815220130191,1,2024-09-23 20:43:02.687331055,1727124182.687331,2024-09-23 20:43:02.687331072,0,[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],-0.0,-4.6141895142283555,[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],[1.28841016 0.75460077 0.49105753],"[ 1.28411719e+00  7.66304955e-01  5.06388247e-01  1.27666182e+00
  7.64514774e-01  4.90276326e-01 -7.45536830e-03 -1.79018065e-03
 -1.61119214e-02  2.23834026e-02  2.57313716e-02 -6.31936558e-05
  4.52699775e-03  1.58104565e-02  2.90844258e-05  6.59823364e-04
 -4.51761147e-05 -2.17977200e-03 -1.58895673e-04 -1.10138438e-04
 -3.52160722e-04 -9.40199976e-04  1.94096965e-03  7.38819747e-04
 -7.39463215e-04]",0.658203661441803,0,0
5,5,2024-09-23 20:43:09.417807104,TASK_BEGIN,15,-0.6943510516315222,0.0587459631415219,-6.2979003345640585,0.5078198035434411,0.6306289298999326,-0.1973477391070254,5.2221546022432594,-2.235921462949844,1,2024-09-23 20:43:02.687331055,1727124182.687331,2024-09-23 20:43:02.687331072,0,[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],-0.0,-4.6141895142283555,[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],[1.28841016 0.75460077 0.49105753],"[ 1.28411719e+00  7.66304955e-01  5.06388247e-01  1.27666182e+00
  7.64514774e-01  4.90276326e-01 -7.45536830e-03 -1.79018065e-03
 -1.61119214e-02  2.23834026e-02  2.57313716e-02 -6.31936558e-05
  4.52699775e-03  1.58104565e-02  2.90844258e-05  6.59823364e-04
 -4.51761147e-05 -2.17977200e-03 -1.58895673e-04 -1.10138438e-04
 -3.52160722e-04 -9.40199976e-04  1.94096965e-03  7.38819747e-04
 -7.39463215e-04]",0.658203661441803,0,0
6,6,2024-09-23 20:43:09.479738112,TASK_BEGIN,15,-0.7465340325736356,0.0559608596258575,-6.893185999589966,0.6095017979624799,0.7218194863015263,-0.2358686276591369,6.01051251568997,-2.151505556743846,1,2024-09-23 20:43:02.687331055,1727124182.687331,2024-09-23 20:43:02.687331072,0,[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],-0.0,-4.6141895142283555,[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],[1.28841016 0.75460077 0.49105753],"[ 1.28411719e+00  7.66304955e-01  5.06388247e-01  1.27666182e+00
  7.64514774e-01  4.90276326e-01 -7.45536830e-03 -1.79018065e-03
 -1.61119214e-02  2.23834026e-02  2.57313716e-02 -6.31936558e-05
  4.52699775e-03  1.58104565e-02  2.90844258e-05  6.59823364e-04
 -4.51761147e-05 -2.17977200e-03 -1.58895673e-04 -1.10138438e-04
 -3.52160722e-04 -9.40199976e-04  1.94096965e-03  7.38819747e-04
 -7.39463215e-04]",0.658203661441803,0,0
7,7,2024-09-23 20:43:09.562196992,TASK_BEGIN,15,-0.7905871716726811,0.0527104999858408,-7.411893448163043,0.6911325757428485,0.7944896309136361,-0.2658337659844666,6.705788535606793,-2.0822016065722133,1,2024-09-23 20:43:02.687331055,1727124182.687331,2024-09-23 20:43:02.687331072,0,[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],-0.0,-4.6141895142283555,[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],[-0.01652187 -0.04026195  0.08722635 -0.1425313 ],[1.28841016 0.75460077 0.49105753],"[ 1.28411719e+00  7.66304955e-01  5.06388247e-01  1.27666182e+00
  7.64514774e-01  4.90276326e-01 -7.45536830e-03 -1.79018065e-03
 -1.61119214e-02  2.23834026e-02  2.57313716e-02 -6.31936558e-05
  4.52699775e-03  1.58104565e-02  2.90844258e-05  6.59823364e-04
 -4.51761147e-05 -2.17977200e-03 -1.58895673e-04 -1.10138438e-04
 -3.52160722e-04 -9.40199976e-04  1.94096965e-03  7.38819747e-04
 -7.39463215e-04]",0.658203661441803,0,0
8,15,2024-09-23 20:43:11.831233024,TASK_BEGIN,15,-0.9168404922691556,-0.001912795304158,-8.794701876005467,0.6688135983502057,0.633556982833177,-0.2447622563921287,9.777545249980394,-2.248560822863701,1,2024-09-23 20:43:05.239620850,1727124185.2396214,2024-09-23 20:43:05.239621376,1,[ 0.11930241  0.5544664  -0.9806173   0.67784667],-1.0,-3.9403989999999998,[ 0.11930241  0.5544664  -0.9806173   0.67784667],[ 0.11930241  0.5544664  -0.9806173   0.67784667],[1.44624489 0.60012145 0.42469975],"[ 1.34301152e+00  8.65638422e-01  4.52722653e-01  1.34939300e+00
  8.84890551e-01  4.24322278e-01  6.38148469e-03  1.92521286e-02
 -2.84003755e-02  5.00435662e-02  5.00439669e-02  8.08524306e-04
 -2.63278363e-03  1.44668796e-02 -3.50364183e-03 -1.39630695e-02
  2.40734016e-02  1.70379244e-02 -9.77211655e-05  1.66443696e-02
  3.18444124e-03  1.18509680e-02 -2.38607932e-02  3.67266260e-06
  2.04888890e-06]",1.6064237356185913,0,0
9,16,2024-09-23 20:43:11.899032320,TASK_BEGIN,15,-0.9235329438868156,-0.0123225024636571,-8.675702451948117,0.6178973738569384,0.5488381336801237,-0.2259851027736796,10.014843314067203,-2.352412823803182,1,2024-09-23 20:43:05.239620850,1727124185.2396214,2024-09-23 20:43:05.239621376,1,[ 0.11930241  0.5544664  -0.9806173   0.67784667],-1.0,-3.9403989999999998,[ 0.11930241  0.5544664  -0.9806173   0.67784667],[ 0.11930241  0.5544664  -0.9806173   0.67784667],[1.44624489 0.60012145 0.42469975],"[ 1.34301152e+00  8.65638422e-01  4.52722653e-01  1.34939300e+00
  8.84890551e-01  4.24322278e-01  6.38148469e-03  1.92521286e-02
 -2.84003755e-02  5.00435662e-02  5.00439669e-02  8.08524306e-04
 -2.63278363e-03  1.44668796e-02 -3.50364183e-03 -1.39630695e-02
  2.40734016e-02  1.70379244e-02 -9.77211655e-05  1.66443696e-02
  3.18444124e-03  1.18509680e-02 -2.38607932e-02  3.67266260e-06
  2.04888890e-06]",1.6064237356185913,0,0
10,17,2024-09-23 20:43:11.966770944,TASK_BEGIN,15,-0.9320955137413904,-0.0230802564665185,-8.516118887152615,0.5671267743051174,0.4625251611655673,-0.2078935113608633,10.248735132947488,-2.464435877727759,1,2024-09-23 20:43:05.239620850,1727124185.2396214,2024-09-23 20:43:05.239621376,1,[ 0.11930241  0.5544664  -0.9806173   0.67784667],-1.0,-3.9403989999999998,[ 0.11930241  0.5544664  -0.9806173   0.67784667],[ 0.11930241  0.5544664  -0.9806173   0.67784667],[1.44624489 0.60012145 0.42469975],"[ 1.34301152e+00  8.65638422e-01  4.52722653e-01  1.34939300e+00
  8.84890551e-01  4.24322278e-01  6.38148469e-03  1.92521286e-02
 -2.84003755e-02  5.00435662e-02  5.00439669e-02  8.08524306e-04
 -2.63278363e-03  1.44668796e-02 -3.50364183e-03 -1.39630695e-02
  2.40734016e-02  1.70379244e-02 -9.77211655e-05  1.66443696e-02
  3.18444124e-03  1.18509680e-02 -2.38607932e-02  3.67266260e-06
  2.04888890e-06]",1.6064237356185913,0,0
