,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,desired_goal,states,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-26 22:35:11.328719104,TASK_BEGIN,20,-0.317220281094572,0.1679007815534548,-2.5624529883935865,0.4977858904959101,-0.999516586447648,0.3820411144165575,0.594112792498662,0.1332133778914563,3,2024-09-26 22:35:16.786697021,1727390116.786698,2024-09-26 22:35:16.786697984,0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-7.72553055720799,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.37696925 -0.9999265  -0.06467451  0.2290997 ],[1.39922648 0.68809563 0.42469975],"[ 1.34241035e+00  7.49349353e-01  5.32963534e-01  1.34269329e+00
  6.00799194e-01  4.24783528e-01  2.82940987e-04 -1.48550159e-01
 -1.08180006e-01  2.21447942e-06  2.06857450e-06 -1.04309533e-09
  1.60476205e-09 -2.19170720e-15 -4.13354860e-05 -2.29975928e-05
  1.56245753e-04  5.84475496e-10 -8.99193057e-10 -1.06387057e-18
  4.13354635e-05  2.29975782e-05 -1.55704617e-04  3.27316496e-07
 -3.23339367e-07]",0.9029129918397917,0,0
2,2,2024-09-26 22:35:11.396529152,TASK_BEGIN,20,-0.2985954913270907,0.1661930728709553,-2.7299759108827177,0.5136005069083058,-0.9631921173243274,0.3593930371475977,-0.0166192871142008,0.2389073198495821,3,2024-09-26 22:35:16.846044922,1727390116.846045,2024-09-26 22:35:16.846044928,0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-8.64827525163591,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.3778502  -0.99992836 -0.06319714  0.23015025],[1.39922648 0.68809563 0.42469975],"[ 1.34246454e+00  7.49380747e-01  5.32749369e-01  1.34269329e+00
  6.00799193e-01  4.24783938e-01  2.28755720e-04 -1.48581554e-01
 -1.07965431e-01  2.23163838e-06  2.05444858e-06 -6.00254484e-10
  9.23468437e-10 -2.19205399e-15 -4.11590467e-05 -2.29972014e-05
  1.55725418e-04  3.36308861e-10 -5.17398265e-10 -1.66916115e-19
  4.11590337e-05  2.29971930e-05 -1.55414908e-04  3.29450813e-07
 -3.27379673e-07]",0.9036475846570247,0,0
3,3,2024-09-26 22:35:12.334521856,TASK_BEGIN,20,-0.2809180625593345,0.1651721179019836,-2.9203882641660583,0.5327020078598257,-0.9305452515270524,0.3388493853432475,-0.5781926584658706,0.3341495393821577,3,2024-09-26 22:35:17.754606934,1727390117.7546072,2024-09-26 22:35:17.754607104,0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-22.21786406008532,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.3916907  -0.999952   -0.0396308   0.24755882],[1.39922648 0.68809563 0.42469975],"[ 1.34332356e+00  7.49883223e-01  5.29335807e-01  1.34269329e+00
  6.00799193e-01  4.24784489e-01 -6.30268916e-04 -1.49084030e-01
 -1.04551318e-01  2.56150835e-06  1.72787437e-06 -8.69140740e-14
  1.33713507e-13 -2.19773382e-15 -4.10075487e-05 -2.30102467e-05
  1.55440365e-04  4.86835300e-14 -7.49027998e-14  4.27963158e-19
  4.10075487e-05  2.30102467e-05 -1.55440322e-04  3.32576882e-07
 -3.32576820e-07]",0.9167790102053169,0,0
4,4,2024-09-26 22:35:12.407883776,TASK_BEGIN,20,-0.2645502768213332,0.1650947807893185,-3.1396492177949407,0.5560744981147873,-0.9030112883621766,0.3211976289641564,-1.0713232346178,0.4151710711383957,3,2024-09-26 22:35:17.870976807,1727390117.8709772,2024-09-26 22:35:17.870977280,0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-23.76572856528962,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.39344132 -0.9999544  -0.03657594  0.24979255],[1.39922648 0.68809563 0.42469975],"[ 1.34343118e+00  7.49946057e-01  5.28908103e-01  1.34269329e+00
  6.00799193e-01  4.24784489e-01 -7.37888254e-04 -1.49146863e-01
 -1.04123613e-01  2.60376141e-06  1.68562138e-06 -2.87885780e-14
  4.42875099e-14 -2.19699432e-15 -4.10581362e-05 -2.30124141e-05
  1.55568638e-04  1.61170246e-14 -2.48107707e-14  7.39138346e-19
  4.10581362e-05  2.30124141e-05 -1.55568624e-04  3.32644821e-07
 -3.32644803e-07]",0.9184058086052864,0,0
5,5,2024-09-26 22:35:12.475711232,TASK_BEGIN,20,-0.249739910334995,0.1661597464744259,-3.390956038946128,0.5842147651334526,-0.8816412483884025,0.3070412010810473,-1.481200818611568,0.4793396805310564,3,2024-09-26 22:35:17.928989014,1727390117.9289892,2024-09-26 22:35:17.928989184,0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-24.528071279636723,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.39429772 -0.99995553 -0.03503122  0.2508688 ],[1.39922648 0.68809563 0.42469975],"[ 1.34348503e+00  7.49977475e-01  5.28694113e-01  1.34269329e+00
  6.00799193e-01  4.24784489e-01 -7.91742325e-04 -1.49178282e-01
 -1.03909624e-01  2.62492349e-06  1.66445932e-06 -1.65710612e-14
  2.54869644e-14 -2.19811614e-15 -4.10837651e-05 -2.30135044e-05
  1.55633319e-04  9.27606437e-15 -1.42780358e-14 -3.87720545e-19
  4.10837651e-05  2.30135044e-05 -1.55633311e-04  3.32678231e-07
 -3.32678222e-07]",0.9192214999131766,0,0
6,6,2024-09-26 22:35:12.543489024,TASK_BEGIN,20,-0.2366278918387078,0.1684993533219398,-3.6746990425686943,0.6171466964460101,-0.8670936535829873,0.296773472202979,-1.7977675746862254,0.5252239715854322,3,2024-09-26 22:35:17.987982910,1727390117.9879837,2024-09-26 22:35:17.987983616,0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-25.282790566840355,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.39515397 -0.99995667 -0.03348564  0.25194496],[1.39922648 0.68809563 0.42469975],"[ 1.34353892e+00  7.50008896e-01  5.28480031e-01  1.34269329e+00
  6.00799193e-01  4.24784489e-01 -8.45626321e-04 -1.49209702e-01
 -1.03695542e-01  2.64610884e-06  1.64327397e-06 -9.53605846e-15
  1.46676200e-14 -2.19808605e-15 -4.11095226e-05 -2.30145984e-05
  1.55698184e-04  5.33771226e-15 -8.21509462e-15 -3.06669884e-18
  4.11095226e-05  2.30145984e-05 -1.55698179e-04  3.32711380e-07
 -3.32711374e-07]",0.9199890848822738,0,0
7,7,2024-09-26 22:35:12.595934976,TASK_BEGIN,20,-0.2252633292748265,0.1721755840690883,-3.9885271331359617,0.6545019255930992,-0.8596105006005249,0.2905553461533006,-2.0156892490900518,0.552535445389823,3,2024-09-26 22:35:18.044976074,1727390118.0449762,2024-09-26 22:35:18.044976128,0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-26.02996266117195,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.39600986 -0.9999578  -0.03193912  0.25302106],[1.39922648 0.68809563 0.42469975],"[ 1.34359283e+00  7.50040317e-01  5.28265856e-01  1.34269329e+00
  6.00799193e-01  4.24784489e-01 -8.99540381e-04 -1.49241124e-01
 -1.03481367e-01  2.66731725e-06  1.62206557e-06 -5.48843391e-15
  8.43972970e-15 -2.19753415e-15 -4.11353597e-05 -2.30156958e-05
  1.55763140e-04  3.07943812e-15 -4.72940894e-15  4.32892569e-18
  4.11353597e-05  2.30156958e-05 -1.55763137e-04  3.32744323e-07
 -3.32744319e-07]",0.9207574190428677,0,0
8,8,2024-09-26 22:35:12.673715968,TASK_BEGIN,20,-0.2156246441875442,0.1771798624720974,-4.327354918345057,0.6956142999932586,-0.8589865229554925,0.288301105861417,-2.134371651185542,0.5620266710337942,3,2024-09-26 22:35:18.101010010,1727390118.101011,2024-09-26 22:35:18.101010944,0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-26.76966303456023,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.3968653  -0.9999589  -0.03039198  0.25409696],[1.39922648 0.68809563 0.42469975],"[ 1.34364678e+00  7.50071740e-01  5.28051589e-01  1.34269329e+00
  6.00799193e-01  4.24784489e-01 -9.53484589e-04 -1.49272547e-01
 -1.03267100e-01  2.68854852e-06  1.60083430e-06 -3.15749193e-15
  4.85833877e-15 -2.19792209e-15 -4.11612399e-05 -2.30167963e-05
  1.55828119e-04  1.76907249e-15 -2.72460371e-15 -1.47800856e-19
  4.11612399e-05  2.30167963e-05 -1.55828117e-04  3.32777102e-07
 -3.32777100e-07]",0.9215373710190061,0,0
9,9,2024-09-26 22:35:12.736203008,TASK_BEGIN,20,-0.2076379641120848,0.1834361140953833,-4.683381063846168,0.7395841661176242,-0.864586475208123,0.2896863668254532,-2.1580589858185397,0.5553913534593958,3,2024-09-26 22:35:18.157557861,1727390118.157558,2024-09-26 22:35:18.157558016,0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-27.501966404214627,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.39772058 -0.9999599  -0.02884389  0.25517264],[1.39922648 0.68809563 0.42469975],"[ 1.34370075e+00  7.50103164e-01  5.27837229e-01  1.34269329e+00
  6.00799193e-01  4.24784489e-01 -1.00745898e-03 -1.49303971e-01
 -1.03052740e-01  2.70980250e-06  1.57958033e-06 -1.81293011e-15
  2.79416277e-15 -2.19806082e-15 -4.11871359e-05 -2.30178996e-05
  1.55893070e-04  1.00677633e-15 -1.56639148e-15 -8.12071980e-20
  4.11871359e-05  2.30178996e-05 -1.55893069e-04  3.32809749e-07
 -3.32809748e-07]",0.9223069250734575,0,0
10,10,2024-09-26 22:35:13.657062912,TASK_BEGIN,20,-0.2011815491764227,0.190806224907362,-5.046285150705457,0.7853021533267398,-0.8754194645029615,0.2941836474000549,-2.095728371642421,0.5351558261859326,3,2024-09-26 22:35:19.078627197,1727390119.0786273,2024-09-26 22:35:19.078627328,0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-38.27098590577118,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.4112724  -0.9999735  -0.00392723  0.2723561 ],[1.39922648 0.68809563 0.42469975],"[ 1.34456841e+00  7.50606144e-01  5.24394989e-01  1.34269324e+00
  6.00799246e-01  4.24784495e-01 -1.87517490e-03 -1.49806898e-01
 -9.96104940e-02  3.05287590e-06  1.23650694e-06 -1.96979006e-06
 -2.03362717e-06 -2.00510895e-12 -4.15673529e-05 -2.30634706e-05
  1.56910929e-04  1.10346793e-06  1.13922921e-06 -2.41511978e-19
  4.15958418e-05  2.30358760e-05 -1.56914310e-04  3.33323244e-07
 -3.33323243e-07]",0.9342643999168064,0,0
