,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,desired_goal,states,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-18 21:36:09.217280000,TASK_BEGIN,9,-1.18656522262972,0.7519629137262894,1.8904349471868969,-0.2538182575349468,-1.493142065194313,0.2721827045196288,-5.888385743094216,2.213935842863409,3,2024-09-18 21:36:30.583432861,1726695390.5834334,2024-09-18 21:36:30.583433472,1,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",-1.0,-1.0,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",[ 0.8549329  -0.91317517 -0.26031414  0.07967521],[1.30303656 0.83328122 0.58954356],"[ 1.34201128e+00  7.49129260e-01  5.34498328e-01  1.47974545e+00
  6.18368054e-01  4.24737381e-01  1.37734162e-01 -1.30761206e-01
 -1.09760947e-01  2.07866775e-06  9.53277514e-07 -5.03884423e-08
  7.75206804e-08 -2.36797414e-16 -5.34218104e-05 -2.56005082e-05
  2.12032882e-04  2.85323085e-08 -4.38958592e-08 -1.57210118e-20
  5.34207138e-05  2.55997955e-05 -1.85367323e-04 -1.30639817e-06
  5.68427354e-07]",0.5198074635665626,0,0
2,2,2024-09-18 21:36:09.270178048,TASK_BEGIN,9,-1.3329625215477854,0.7538431265360251,2.607039121083678,-0.4807284733740424,-1.652184937788149,0.3309941161789371,-7.137723065463738,2.4864141839449374,3,2024-09-18 21:36:30.583432861,1726695390.5834334,2024-09-18 21:36:30.583433472,1,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",-1.0,-1.0,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",[ 0.8549329  -0.91317517 -0.26031414  0.07967521],[1.30303656 0.83328122 0.58954356],"[ 1.34201128e+00  7.49129260e-01  5.34498328e-01  1.47974545e+00
  6.18368054e-01  4.24737381e-01  1.37734162e-01 -1.30761206e-01
 -1.09760947e-01  2.07866775e-06  9.53277514e-07 -5.03884423e-08
  7.75206804e-08 -2.36797414e-16 -5.34218104e-05 -2.56005082e-05
  2.12032882e-04  2.85323085e-08 -4.38958592e-08 -1.57210118e-20
  5.34207138e-05  2.55997955e-05 -1.85367323e-04 -1.30639817e-06
  5.68427354e-07]",0.5198074635665626,0,0
3,3,2024-09-18 21:36:09.347870976,TASK_BEGIN,9,-1.480205079969281,0.7582445171694122,3.274732663228184,-0.6934951371359557,-1.8050372703839972,0.3894681762280454,-8.304925972707888,2.7425777352933127,3,2024-09-18 21:36:30.583432861,1726695390.5834334,2024-09-18 21:36:30.583433472,1,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",-1.0,-1.0,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",[ 0.8549329  -0.91317517 -0.26031414  0.07967521],[1.30303656 0.83328122 0.58954356],"[ 1.34201128e+00  7.49129260e-01  5.34498328e-01  1.47974545e+00
  6.18368054e-01  4.24737381e-01  1.37734162e-01 -1.30761206e-01
 -1.09760947e-01  2.07866775e-06  9.53277514e-07 -5.03884423e-08
  7.75206804e-08 -2.36797414e-16 -5.34218104e-05 -2.56005082e-05
  2.12032882e-04  2.85323085e-08 -4.38958592e-08 -1.57210118e-20
  5.34207138e-05  2.55997955e-05 -1.85367323e-04 -1.30639817e-06
  5.68427354e-07]",0.5198074635665626,0,0
4,4,2024-09-18 21:36:09.409928960,TASK_BEGIN,9,-1.627421806912859,0.7660405864785043,3.8718205482088472,-0.8865804302524917,-1.948805975283284,0.4473507178400209,-9.352177651801998,2.97426472375934,3,2024-09-18 21:36:30.583432861,1726695390.5834334,2024-09-18 21:36:30.583433472,1,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",-1.0,-1.0,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",[ 0.8549329  -0.91317517 -0.26031414  0.07967521],[1.30303656 0.83328122 0.58954356],"[ 1.34201128e+00  7.49129260e-01  5.34498328e-01  1.47974545e+00
  6.18368054e-01  4.24737381e-01  1.37734162e-01 -1.30761206e-01
 -1.09760947e-01  2.07866775e-06  9.53277514e-07 -5.03884423e-08
  7.75206804e-08 -2.36797414e-16 -5.34218104e-05 -2.56005082e-05
  2.12032882e-04  2.85323085e-08 -4.38958592e-08 -1.57210118e-20
  5.34207138e-05  2.55997955e-05 -1.85367323e-04 -1.30639817e-06
  5.68427354e-07]",0.5198074635665626,0,0
5,5,2024-09-18 21:36:09.488094976,TASK_BEGIN,9,-1.7733462436216754,0.7777519992948739,4.383829954549189,-1.0562852344816798,-2.0813658795559253,0.5044129116639563,-10.252187592359473,3.1756547151860066,3,2024-09-18 21:36:30.583432861,1726695390.5834334,2024-09-18 21:36:30.583433472,1,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",-1.0,-1.0,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",[ 0.8549329  -0.91317517 -0.26031414  0.07967521],[1.30303656 0.83328122 0.58954356],"[ 1.34201128e+00  7.49129260e-01  5.34498328e-01  1.47974545e+00
  6.18368054e-01  4.24737381e-01  1.37734162e-01 -1.30761206e-01
 -1.09760947e-01  2.07866775e-06  9.53277514e-07 -5.03884423e-08
  7.75206804e-08 -2.36797414e-16 -5.34218104e-05 -2.56005082e-05
  2.12032882e-04  2.85323085e-08 -4.38958592e-08 -1.57210118e-20
  5.34207138e-05  2.55997955e-05 -1.85367323e-04 -1.30639817e-06
  5.68427354e-07]",0.5198074635665626,0,0
6,6,2024-09-18 21:36:09.555560960,TASK_BEGIN,9,-1.916300275434292,0.7935313655893669,4.803990908714661,-1.200837145404476,-2.201494701625571,0.5604347084410147,-10.98942805284439,3.3434931742250447,3,2024-09-18 21:36:30.760581055,1726695390.7605817,2024-09-18 21:36:30.760581632,1,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",-1.0,-3.9403989999999998,"[0.0009765625, 0.0009765625, -0.0009765625, -0.0625]",[ 0.85440475 -0.9124092  -0.2591555   0.08114406],[1.30303656 0.83328122 0.58954356],"[ 1.34218926e+00  7.49223770e-01  5.33828345e-01  1.47974544e+00
  6.18368053e-01  4.24775622e-01  1.37556183e-01 -1.30855717e-01
 -1.09052723e-01 -1.40564654e-08  1.61019572e-06 -9.52496621e-09
  1.46537942e-08 -2.11757523e-15 -4.30482038e-05 -2.30022843e-05
  1.63429961e-04  5.34650724e-09 -8.22539575e-09  1.11243440e-18
  4.30479981e-05  2.30021506e-05 -1.58431858e-04  6.09070509e-08
 -8.68064363e-07]",0.5194455288917168,0,0
7,7,2024-09-18 21:36:10.498727936,TASK_BEGIN,9,-2.054225063092966,0.8131844819985015,5.132635373789626,-1.3202150551389191,-2.308876224928967,0.6151859379645115,-11.560010453295073,3.4770261139838614,3,2024-09-18 21:36:31.550889893,1726695391.5508902,2024-09-18 21:36:31.550890240,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-16.54862385499124,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.8521351 -0.9098593 -0.252596   0.0871727],[1.30303656 0.83328122 0.58954356],"[ 1.34294775e+00  7.49663349e-01  5.30830062e-01  1.47974544e+00
  6.18368053e-01  4.24784485e-01  1.36797697e-01 -1.31295296e-01
 -1.06045576e-01  2.00247124e-07  3.63279905e-07 -4.15652710e-12
  6.39465347e-12 -2.18655836e-15 -4.08564964e-05 -2.30029356e-05
  1.55039936e-04  2.32851168e-12 -3.58233747e-12 -2.73314651e-19
  4.08564963e-05  2.30029355e-05 -1.55037840e-04  3.32236468e-07
 -3.32015133e-07]",0.5159377951190441,0,0
8,8,2024-09-18 21:36:10.567217152,TASK_BEGIN,9,-2.184748032809506,0.8362117657900591,5.375906795262438,-1.4158164716448114,-2.403982773593517,0.6684049178311802,-11.970419583588464,3.5776826405907327,3,2024-09-18 21:36:31.606889893,1726695391.6068902,2024-09-18 21:36:31.606890240,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-17.383137616441328,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.85201824 -0.9096917  -0.25202692  0.087608  ],[1.30303656 0.83328122 0.58954356],"[ 1.34300136e+00  7.49694755e-01  5.30616829e-01  1.47974544e+00
  6.18368053e-01  4.24784487e-01  1.36744079e-01 -1.31326703e-01
 -1.05832342e-01  2.21116581e-07  3.42579243e-07 -2.39210801e-12
  3.68016038e-12 -2.18664562e-15 -4.08728640e-05 -2.30039357e-05
  1.55087025e-04  1.34007971e-12 -2.06165560e-12 -4.22823455e-18
  4.08728640e-05  2.30039357e-05 -1.55085822e-04  3.32314744e-07
 -3.32199481e-07]",0.5158050954790209,0,0
9,9,2024-09-18 21:36:10.634941184,TASK_BEGIN,9,-2.30529567767941,0.8618614714859691,5.544100972401462,-1.4900642395220842,-2.4878702032041846,0.7197785721422658,-12.23550641128256,3.648585589444858,3,2024-09-18 21:36:31.722122803,1726695391.7221239,2024-09-18 21:36:31.722123776,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-19.027213177874142,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.8517841  -0.9093556  -0.25088745  0.08847909],[1.30303656 0.83328122 0.58954356],"[ 1.34310866e+00  7.49757573e-01  5.30190150e-01  1.47974544e+00
  6.18368053e-01  4.24784488e-01  1.36636782e-01 -1.31389520e-01
 -1.05405662e-01  2.63013594e-07  3.00815910e-07 -7.92286324e-13
  1.21889309e-12 -2.18469684e-15 -4.09128008e-05 -2.30059944e-05
  1.55195387e-04  4.43846614e-13 -6.82837802e-13  3.49608993e-18
  4.09128008e-05  2.30059944e-05 -1.55194991e-04  3.32422382e-07
 -3.32391122e-07]",0.5155422093479272,0,0
10,10,2024-09-18 21:36:10.696559872,TASK_BEGIN,9,-2.4132738180217346,0.8891973386385468,5.649788441096541,-1.5459899679590057,-2.5619192551042507,0.7689303427093576,-12.376191070883785,3.6940140765561287,3,2024-09-18 21:36:31.783174072,1726695391.783175,2024-09-18 21:36:31.783174912,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-19.8369410460954,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.8516669  -0.9091869  -0.25031734  0.0889148 ],[1.30303656 0.83328122 0.58954356],"[ 1.34316235e+00  7.49788983e-01  5.29976693e-01  1.47974544e+00
  6.18368053e-01  4.24784489e-01  1.36583098e-01 -1.31420931e-01
 -1.05192205e-01  2.84018515e-07  2.79834828e-07 -4.55967856e-13
  7.01478154e-13 -2.18506533e-15 -4.09351743e-05 -2.30070447e-05
  1.55254191e-04  2.55434997e-13 -3.92977778e-13 -1.32303803e-18
  4.09351742e-05  2.30070447e-05 -1.55253964e-04  3.32464827e-07
 -3.32448547e-07]",0.5154115822229126,0,0
