,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,states,continuous_optimal,binary_optimal,discrete_optimal
11,11,2024-09-19 21:19:03.666379776,TASK_BEGIN,11,1.8400479523033615,0.0685432983466166,5.086866378204029,-2.0341249323584774,1.5522841297134036,-0.3882558675902813,12.384257628088273,-2.211227555533943,2,2024-09-19 21:19:04.956724854,1726780744.9567258,2024-09-19 21:19:04.956725760,0,0,-2.1719417900585256,-89.04382066959205,[1. 0. 0. 0.],[0.19876179 0.02985827 0.50829228 0.26308766],"[-0.05458856  0.6207303  -0.11459997 -1.1055615   0.12047358 -0.08816589
  0.          0.          0.2        -0.25458854 -9.197197  ]",1.5285271380492462,0,0
12,12,2024-09-19 21:19:03.728723200,TASK_BEGIN,11,1.844746473853648,0.0539562108880363,5.095156772494784,-2.074124940329096,1.524952463522793,-0.4078354359713834,12.552005149064854,-2.2781765756502046,2,2024-09-19 21:19:05.728518066,1726780745.7285185,2024-09-19 21:19:05.728518400,0,3,-4.205771727007951,-64.68353505713864,[0. 0. 0. 1.],[0.30677051 0.28200716 0.3760524  0.03516992],"[-0.06230648  0.20867825  0.07297461 -0.943683   -0.18652752 -0.27049786
  0.          0.          0.2        -0.26230648 -5.9007807 ]",1.5386808960170633,0,0
13,13,2024-09-19 21:19:03.790288128,TASK_BEGIN,11,1.8454594980595225,0.0396351149022069,5.074799025621033,-2.109190708640694,1.4830928682556312,-0.4303202115831301,12.60842812388242,-2.319436520883835,2,2024-09-19 21:19:05.728518066,1726780745.7285185,2024-09-19 21:19:05.728518400,0,3,-4.205771727007951,-64.68353505713864,[0. 0. 0. 1.],[0.30677051 0.28200716 0.3760524  0.03516992],"[-0.06230648  0.20867825  0.07297461 -0.943683   -0.18652752 -0.27049786
  0.          0.          0.2        -0.26230648 -5.9007807 ]",1.5386808960170633,0,0
14,14,2024-09-19 21:19:04.716102912,TASK_BEGIN,11,1.8441584053129016,0.0248094124138069,5.027263654792753,-2.139248823667118,1.428146915368187,-0.4555853035892969,12.578045625667835,-2.3406211281683764,2,2024-09-19 21:19:06.724132080,1726780746.7241325,2024-09-19 21:19:06.724132608,0,3,5.035505369458567,-129.17160227746257,[0. 0. 0. 1.],[2.74555901e-04 2.57982540e-03 9.97144827e-01 7.91598401e-07],"[-0.03143549 -0.46694136  0.28120154 -1.6173947  -0.59128946 -0.3945072
  1.          0.          0.2        -0.2314355  -0.49582368]",1.567479596834986,1,2
15,15,2024-09-19 21:19:04.790531072,TASK_BEGIN,11,1.8423494312037327,0.0088520082118387,4.955919673431732,-2.1643921226679432,1.3619187441244809,-0.4834787657708162,12.484229591441538,-2.3469055394209914,2,2024-09-19 21:19:06.724132080,1726780746.7241325,2024-09-19 21:19:06.724132608,0,3,5.035505369458567,-129.17160227746257,[0. 0. 0. 1.],[2.74555901e-04 2.57982540e-03 9.97144827e-01 7.91598401e-07],"[-0.03143549 -0.46694136  0.28120154 -1.6173947  -0.59128946 -0.3945072
  1.          0.          0.2        -0.2314355  -0.49582368]",1.567479596834986,1,2
16,16,2024-09-19 21:19:04.858247168,TASK_BEGIN,11,1.840960229151249,-0.0086724206865965,4.865524475364542,-2.1848220158505383,1.2864593687997945,-0.5137909634190879,12.349480825203086,-2.3430929769361675,2,2024-09-19 21:19:06.724132080,1726780746.7241325,2024-09-19 21:19:06.724132608,0,3,5.035505369458567,-129.17160227746257,[0. 0. 0. 1.],[2.74555901e-04 2.57982540e-03 9.97144827e-01 7.91598401e-07],"[-0.03143549 -0.46694136  0.28120154 -1.6173947  -0.59128946 -0.3945072
  1.          0.          0.2        -0.2314355  -0.49582368]",1.567479596834986,1,2
17,17,2024-09-19 21:19:04.918768896,TASK_BEGIN,11,1.8402974473843388,-0.027968326520771,4.761446518918284,-2.2007689462691955,1.2039211635084108,-0.5462145378602119,12.19576075411168,-2.333736805770634,2,2024-09-19 21:19:06.724132080,1726780746.7241325,2024-09-19 21:19:06.724132608,0,3,5.035505369458567,-129.17160227746257,[0. 0. 0. 1.],[2.74555901e-04 2.57982540e-03 9.97144827e-01 7.91598401e-07],"[-0.03143549 -0.46694136  0.28120154 -1.6173947  -0.59128946 -0.3945072
  1.          0.          0.2        -0.2314355  -0.49582368]",1.567479596834986,1,2
18,18,2024-09-19 21:19:04.993626880,TASK_BEGIN,11,1.8401072999826569,-0.0489846187663238,4.648692630501309,-2.2123977356997546,1.11639919776355,-0.5803062930988329,12.044399775169738,-2.323166200515933,2,2024-09-19 21:19:06.724132080,1726780746.7241325,2024-09-19 21:19:06.724132608,0,3,5.035505369458567,-129.17160227746257,[0. 0. 0. 1.],[2.74555901e-04 2.57982540e-03 9.97144827e-01 7.91598401e-07],"[-0.03143549 -0.46694136  0.28120154 -1.6173947  -0.59128946 -0.3945072
  1.          0.          0.2        -0.2314355  -0.49582368]",1.567479596834986,1,2
19,19,2024-09-19 21:19:05.058460928,TASK_BEGIN,11,1.8397316835312945,-0.0714112612944574,4.531010238109216,-2.219735252977852,1.0257997622286994,-0.6154681025992095,11.915392883677788,-2.3153525282843552,2,2024-09-19 21:19:06.724132080,1726780746.7241325,2024-09-19 21:19:06.724132608,0,3,5.035505369458567,-129.17160227746257,[0. 0. 0. 1.],[2.74555901e-04 2.57982540e-03 9.97144827e-01 7.91598401e-07],"[-0.03143549 -0.46694136  0.28120154 -1.6173947  -0.59128946 -0.3945072
  1.          0.          0.2        -0.2314355  -0.49582368]",1.567479596834986,1,2
20,20,2024-09-19 21:19:05.120289024,TASK_BEGIN,11,1.8383118817216573,-0.0947020830282508,4.410425865676196,-2.222665188378764,0.9337657684771176,-0.650958280379286,11.826258087869856,-2.3136546712881847,2,2024-09-19 21:19:06.724132080,1726780746.7241325,2024-09-19 21:19:06.724132608,0,3,5.035505369458567,-129.17160227746257,[0. 0. 0. 1.],[2.74555901e-04 2.57982540e-03 9.97144827e-01 7.91598401e-07],"[-0.03143549 -0.46694136  0.28120154 -1.6173947  -0.59128946 -0.3945072
  1.          0.          0.2        -0.2314355  -0.49582368]",1.567479596834986,1,2
