,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id
0,2024-09-18 21:18:35.539998976,TASK_BEGIN,009,-0.1648387468287921,-0.3405358738140893,-1.016311811374521,0.1112907109175787,1.2289849908066466,-0.47838855821829335,-12.920595881434696,3.339270941098359,0
1,2024-09-18 21:18:35.599844864,TASK_BEGIN,009,0.16599472301318238,-0.45800251497078565,-0.9887756459159249,0.3370593762729342,1.4147380900309356,-0.5236372293175837,-13.883505070507672,3.364849088305769,0
2,2024-09-18 21:18:35.664114944,TASK_BEGIN,009,0.4845245795522684,-0.5779231870573376,-0.9452808264657392,0.5578494991485999,1.596298461666973,-0.5644030429936469,-14.828644489768847,3.3879897897657036,0
3,2024-09-18 21:18:35.743298048,TASK_BEGIN,009,0.7798354087629471,-0.702307814216018,-0.8755619338913057,0.7700291977124586,1.7697849041002411,-0.5967349188809397,-15.736997606398884,3.407551910917452,0
4,2024-09-18 21:18:35.810795776,TASK_BEGIN,009,1.0426541611457623,-0.8327165578975276,-0.7703817002738257,0.9700857606787875,1.9319459773423049,-0.6173788444619892,-16.590653076410472,3.4226354618337296,0
5,2024-09-18 21:18:35.878494976,TASK_BEGIN,009,1.265812891562462,-0.9700289225919723,-0.6217870284220859,1.1546667057566269,2.080337769335248,-0.6240142036860808,-17.37312215474356,3.4326177005198653,0
6,2024-09-18 21:18:36.823308800,TASK_BEGIN,009,1.4444472961683303,-1.1142164783901547,-0.42334738479662826,1.320624927425552,2.2134182006917507,-0.615411137761681,-18.069919179154738,3.437187988567286,0
7,2024-09-18 21:18:36.891073024,TASK_BEGIN,009,1.5759993391674758,-1.2641678898551187,-0.17049452716445385,1.4650874313655167,2.3305415706167296,-0.5915027098862474,-18.669465943654263,3.4363806884764565,0
8,2024-09-18 21:18:36.958938112,TASK_BEGIN,009,1.6601027833824424,-1.4176051306869073,0.1389831747159024,1.5855705493913472,2.4318328065855033,-0.5533647979909759,-19.16400055107165,3.4305945766741037,0
9,2024-09-18 21:18:37.026648832,TASK_BEGIN,009,1.6984023035968678,-1.5711157391360924,0.5043909093921765,1.6801243015612985,2.5179672231901917,-0.5031096459507812,-19.550097804964253,3.420582606469003,0
10,2024-09-18 21:18:37.094141952,TASK_BEGIN,009,1.694337947152367,-1.7203243561101738,0.9217200285858043,1.747457795318696,2.589905938785547,-0.4437063146439498,-19.828532039715057,3.4074034224561127,0
11,2024-09-18 21:18:37.162220032,TASK_BEGIN,009,1.6529130584297838,-1.860217121208499,1.383551967426816,1.7870371928458835,2.6486300391247286,-0.3787431842873421,-20.003424697383526,3.3923334990092564,0
12,2024-09-18 21:18:37.229996800,TASK_BEGIN,009,1.5804291822306153,-1.9855854949114355,1.8793315824140704,1.7991795753644462,2.694921200527431,-0.3121586796194088,-20.08097476403173,3.3767605364982964,0
13,2024-09-18 21:18:38.172390912,TASK_BEGIN,009,1.4841598889179957,-2.091506432939771,2.395905554992435,1.7851490524904665,2.7292413693232787,-0.24796853546204045,-20.068353717215523,3.3620887799681607,0
