,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id
0,2024-09-18 21:23:59.360701952,TASK_BEGIN,009,-3.6929419520237574,-0.5603638180508654,2.9036134598312446,0.1851893847926513,-1.050604916566312,1.057916468339699,2.753925932859166,-1.3897153113010958,1
1,2024-09-18 21:23:59.441308160,TASK_BEGIN,009,-3.9033610865553845,-0.49291951876725676,3.641699499350821,-0.1234452272716431,-1.3282505363441497,1.1155455497626734,0.509688535330822,-1.2947744790286968,1
2,2024-09-18 21:23:59.509103104,TASK_BEGIN,009,-4.098973917105733,-0.428108268417368,4.3456648709503565,-0.42259139390678935,-1.6034521802644621,1.1738066639648623,-1.6680596775829908,-1.201206083985679,1
3,2024-09-18 21:23:59.576919296,TASK_BEGIN,009,-4.266113312904965,-0.3676533250851121,4.9857196125056955,-0.7025764109281804,-1.8722469545419353,1.2329396379858255,-3.720179913827661,-1.1121020189449236,1
4,2024-09-18 21:23:59.641783040,TASK_BEGIN,009,-4.3939312950312885,-0.31303845813954784,5.536761137974026,-0.9550884873898542,-2.1307670565074153,1.2929660156396037,-5.597428823299815,-1.0303813299529605,1
5,2024-09-18 21:23:59.699076864,TASK_BEGIN,009,-4.475363041472042,-0.26544251951782827,5.980187157263063,-1.1737485991055494,-2.3753936907775564,1.3536404631749661,-7.263086559998445,-0.9585401842642498,1
6,2024-09-18 21:23:59.776699904,TASK_BEGIN,009,-4.507711932594867,-0.22570282538019787,6.305170786464306,-1.3544706937910709,-2.6029157350583474,1.414437579424871,-8.693804680126751,-0.8983933219061028,1
7,2024-09-18 21:24:00.723545088,TASK_BEGIN,009,-4.492814908022628,-0.19430007419705894,6.509223261977606,-1.4955350891025996,-2.8106587936959158,1.4745749419138277,-9.879070529883178,-0.8508995427022042,1
8,2024-09-18 21:24:00.791380736,TASK_BEGIN,009,-4.43678421235713,-0.17135375901171684,6.59798009119207,-1.597389759585038,-2.9965795508873203,1.5330703737909694,-10.819774859423182,-0.8161056265520197,1
9,2024-09-18 21:24:00.859138048,TASK_BEGIN,009,-4.349370736321552,-0.15662235913471703,6.584430295618027,-1.6623177122032933,-3.159346520843021,1.5888252754258487,-11.526181729424962,-0.7931973137536518,1
10,2024-09-18 21:24:00.921137920,TASK_BEGIN,009,-4.2430093845790635,-0.1495081611595883,6.487905022919865,-1.6941168344450146,-3.2984187225888486,1.6407249300221507,-12.015442747485391,-0.780665820183083,1
11,2024-09-18 21:24:00.994684160,TASK_BEGIN,009,-4.131598401554936,-0.14906519302911536,6.332840200994957,-1.6978130242572032,-3.414118919271711,1.6877517117199452,-12.308861949751718,-0.7766420771357672,1
12,2024-09-18 21:24:01.059814912,TASK_BEGIN,009,-4.029091040114916,-0.15400853247086835,6.147047229913976,-1.6793438589410807,-3.507674002545254,1.729103201412688,-12.429370347826719,-0.779404240861165,1
13,2024-09-18 21:24:01.130284288,TASK_BEGIN,009,-3.948047119106949,-0.16273288487630147,5.959350259590887,-1.6451810761325654,-3.581161091788234,1.764292736804569,-12.39983484185105,-0.787912505331359,1
14,2024-09-18 21:24:02.031870976,TASK_BEGIN,009,-3.898341465330339,-0.17336007527945071,5.796842144138556,-1.6019036978848753,-3.6373134979657165,1.7932050148134604,-12.242521173422022,-0.8021461306221773,1
15,2024-09-18 21:24:02.104358912,TASK_BEGIN,009,-3.886202976773501,-0.18383371299565923,5.682257052362529,-1.5557400932175796,-3.6792174455284408,1.8160923203710078,-11.979413662775777,-0.8231182774188436,1
16,2024-09-18 21:24:02.171545856,TASK_BEGIN,009,-3.9136807111071317,-0.19206438864738196,5.631860851473641,-1.5121049242715332,-3.7099952196552426,1.8335172498239873,-11.63276251189396,-0.8525917177517656,1
17,2024-09-18 21:24:02.239422208,TASK_BEGIN,009,-3.9785705601311507,-0.19611201728567382,5.654093425926718,-1.4751760796390716,-3.7325729977256565,1.8462634662582535,-11.225343742549045,-0.8925823414642851,1
