,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id
0,2024-09-25 22:23:35.233375977,TASK_BEGIN,018,0.8909221237421343,-0.3323416915565048,-1.3695912543913322,0.22081664032687326,1.50920701626286,-0.3372321476719,1.2000912129505237,0.21587576649442114,1
1,2024-09-25 22:23:35.288506104,0,018,0.9088519777622686,-0.33496335200691024,-1.3939787549487335,0.21357089085357378,1.51990779818882,-0.3481776745696704,1.177844335002533,0.177872865984541,1
2,2024-09-25 22:23:36.219284912,0,018,0.9301416385007221,-0.33704451150312,-1.4599884805904406,0.21832651858608546,1.5255238640702327,-0.35825698106943,1.1686937887804756,0.1388186658669492,1
3,2024-09-25 22:23:36.276042969,0,018,0.9548681841659771,-0.3389869273346459,-1.5594504352235492,0.23408684295362317,1.5262580090702655,-0.36764300089210733,1.1683258541265984,0.10121589495619823,1
4,2024-09-25 22:23:36.354985107,0,018,0.9828430987428117,-0.34119811550576895,-1.6832762510539705,0.2593309150821227,1.522489163018185,-0.3764471842842007,1.1731478699867675,0.06741027509612957,1
5,2024-09-25 22:23:36.422776855,0,018,1.013603064724262,-0.3440686057440469,-1.821919528786131,0.29212581099984664,1.51476744481581,-0.38471357713890303,1.1804185149970174,0.03940283751015855,1
6,2024-09-25 22:23:36.478728027,0,018,1.046407388619186,-0.34794498836340454,-1.9658666590607867,0.33027110345750876,1.5038078399231245,-0.39242829536655754,1.188262968641656,0.01871988882653459,1
7,2024-09-25 22:23:36.558415771,0,018,1.0802475484209284,-0.3531003833976833,-2.1061433745798803,0.3714486940396451,1.490448022497436,-0.3995343614148268,1.1957135767238982,0.006316478305082486,1
8,2024-09-25 22:23:36.626228027,0,018,1.1138845487384412,-0.35970544934073223,-2.2347705384110106,0.41335953618145665,1.475564868640005,-0.40594252237071327,1.2028219151329604,0.0024965911360273437,1
9,2024-09-25 22:23:37.569312988,0,018,1.1459391043084088,-0.36780674734800956,-2.3450840587282364,0.4538393784842624,1.4599789208805498,-0.4115369965600063,1.2107383317341611,0.006869260826906693,1
10,2024-09-25 22:23:37.633160156,0,018,1.1750383993766012,-0.3773206105030973,-2.4318551893301428,0.4909485505753226,1.4443716938580526,-0.4161802125698229,1.2216064236555597,0.01837607565545985,1
11,2024-09-25 22:23:37.695229004,0,018,1.1999785759218198,-0.38804487253308656,-2.4912546342173836,0.5230365008443013,1.4292174411080896,-0.4197190668842071,1.2382558149935576,0.0354001803203879,1
12,2024-09-25 22:23:37.772463135,0,018,1.219841811398469,-0.3996821389901903,-2.5207863943296296,0.5487873811887738,1.414723301146625,-0.4219919656067353,1.263826135370075,0.05593615482648853,1
13,2024-09-25 22:23:37.834482910,0,018,1.2340390621540311,-0.4118663943615748,-2.5192689708981644,0.5672509591516283,1.4007799555120377,-0.42283537984196795,1.3014505170715163,0.07779008242031547,1
14,2024-09-25 22:23:37.908411133,0,018,1.242299254403048,-0.4241896963848107,-2.4868906057445623,0.5778676435070664,1.3869372873102566,-0.422090332981123,1.3539987040947867,0.0987800529226795,1
15,2024-09-25 22:23:37.976259033,0,018,1.2446395551265999,-0.4362290719662308,-2.4253564992714383,0.5805012551956658,1.3724211541293163,-0.4196093668420738,1.4238137295687923,0.11691189727782245,1
16,2024-09-25 22:23:38.917214111,0,018,1.2413242970650544,-0.4475714292346781,-2.338063142973487,0.5754684448281541,1.3561989482682297,-0.4152647676779502,1.5124639321460671,0.13051604759674068,1
17,2024-09-25 22:23:38.970258056,0,018,1.232797407339712,-0.4578310069074995,-2.2301284780958612,0.5635199292819696,1.3370951353188172,-0.40896068192501006,1.6205854802384498,0.1383471154099462,1
18,2024-09-25 22:23:39.046922119,0,018,1.2195914141083823,-0.466656571423495,-2.10811766195425,0.5457418703773799,1.3139473222452058,-0.4006500939977783,1.7477655449894431,0.139661450366313,1
19,2024-09-25 22:23:39.120628174,0,018,1.2022482079066805,-0.473732619173078,-1.9794248229332039,0.5233947814290187,1.2857786727163723,-0.39035359464793307,1.8923264717057768,0.1342861940113194,1
20,2024-09-25 22:23:39.188399902,0,018,1.1812813004038338,-0.4787819245558027,-1.8514124707491304,0.4977316527767586,1.251959002672011,-0.3781759105534012,2.0510243284342837,0.12266457765396294,1
21,2024-09-25 22:23:39.248135986,0,018,1.1571735996786208,-0.4815740702896137,-1.7305293813410654,0.4698349101321732,1.2123311616472296,-0.3643160152273277,2.2188725368888393,0.10583275671426683,1
22,2024-09-25 22:23:39.310250977,0,018,1.130390062074882,-0.4819410423809851,-1.621686986678253,0.4405156889805537,1.1672776330658103,-0.34906537616699146,2.3892503803834115,0.08530037180864838,1
23,2024-09-25 22:23:40.255779053,0,018,1.101402048085114,-0.47979831132213996,-1.5280887584660747,0.4103090186425126,1.11770303863971,-0.332790195129016,2.5542471142855567,0.06286126479482995,1
24,2024-09-25 22:23:40.336414062,0,018,1.0707277537326776,-0.47516619981986546,-1.4514888888855018,0.3795545506955079,1.0649282279774148,-0.3158985591826242,2.705153212901502,0.040389914717592304,1
25,2024-09-25 22:23:40.401259033,0,018,1.0389702810054913,-0.4681835637848682,-1.392664296305924,0.3485120723270805,1.0105204516905777,-0.2987993543779658,2.8331580880321563,0.019658363440083503,1
26,2024-09-25 22:23:40.470906982,0,018,1.0068158188619298,-0.45910742988955866,-1.3518437803782957,0.3174595689387555,0.9560968507472166,-0.2818626019035523,2.9302639609099264,0.002184263771976832,1
