,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id
0,2024-09-24 12:26:25.346231808,0,016,-0.9949376059807886,0.9304025422915746,5.514572636560438,-0.624698175694328,-0.3109726503324654,-0.11591328377712383,-0.8166421037105631,-0.7393054450560728,2
1,2024-09-24 12:26:25.422941952,0,016,-0.9765634124386193,0.9292071493351042,5.667490980092893,-0.634733602011682,-0.3966475026538196,-0.05538303788104349,-0.6849094095645074,-1.029109963024516,2
2,2024-09-24 12:26:25.485847808,0,016,-0.9581617529677511,0.9281827134547935,5.828961301251127,-0.6455419223809579,-0.4797186702089047,0.003829509204299546,-0.5739655789904745,-1.308111430682824,2
3,2024-09-24 12:26:25.558540032,0,016,-0.940274418769599,0.92752089030739,5.996987273126038,-0.656390493423794,-0.5559630662669215,0.06026308270623524,-0.4971721614758209,-1.5656154377144953,2
4,2024-09-24 12:26:25.615476992,0,016,-0.9235821869396721,0.9273925946711702,6.167682486234077,-0.666156964108019,-0.6216751478789687,0.11265912362534193,-0.4652278876765923,-1.7927411359270147,2
5,2024-09-24 12:26:26.554253056,0,016,-0.9088709292356303,0.9279319945399672,6.335379108276951,-0.6733150783648081,-0.673852042104662,0.1600029109309244,-0.485795834123132,-1.9829309247749187,2
6,2024-09-24 12:26:26.632168960,0,016,-0.8969867393109849,0.9292264346668876,6.493169209703522,-0.6760423276803221,-0.7103623720578679,0.2015303172246678,-0.563649883877862,-2.1321492722287396,2
7,2024-09-24 12:26:26.705209088,0,016,-0.8887906148061737,0.9313175599691281,6.633683077159445,-0.6724515676084311,-0.7301608132183648,0.2367289309083677,-0.7011435040249804,-2.2388354654245726,2
8,2024-09-24 12:26:26.772995840,0,016,-0.8850968526576152,0.934206555814185,6.749924399276631,-0.660897285334874,-0.7334652736435863,0.2653423687560296,-0.8985915688487137,-2.303703787838857,2
9,2024-09-24 12:26:26.832907008,0,016,-0.8865864227809546,0.9378475080111415,6.835972235106708,-0.6402416811712017,-0.7217548411019972,0.2873694809984139,-1.1542075900162954,-2.3294726553145635,2
10,2024-09-24 12:26:26.908606976,0,016,-0.8937028899984348,0.94212610849309,6.887376258899997,-0.6099731352544829,-0.6975709341374573,0.3030571121235569,-1.4635871792377826,-2.320537833474036,2
11,2024-09-24 12:26:26.973342720,0,016,-0.9065436316623382,0.9468369158012788,6.901267366220789,-0.5701728728296895,-0.6642175229364359,0.3128899106065322,-1.8189622925047026,-2.2825698222162907,2
12,2024-09-24 12:26:27.887331072,0,016,-0.924772870490009,0.9516701283367555,6.8763716207615415,-0.5214133593413506,-0.6254166185920546,0.3175671447399767,-2.20856275106809,-2.2220539503234153,2
13,2024-09-24 12:26:27.949815808,0,016,-0.9476079014632129,0.9562120809569953,6.813018376793037,-0.4646585633830573,-0.5849168588463103,0.31795072451708084,-2.616542896784189,-2.1458354461887925,2
14,2024-09-24 12:26:28.027786752,0,016,-0.9739164949404879,0.9599659769998479,6.713044774794374,-0.40117369438708766,-0.5460955697797368,0.31498696232116724,-3.0239172222792816,-2.0607063194016413,2
15,2024-09-24 12:26:28.090406912,0,016,-1.0023903772019265,0.9623953458562243,6.579505533811803,-0.3324292767458941,-0.5116476692230874,0.30962287411200173,-3.4105848716239526,-1.973006338048696,2
16,2024-09-24 12:26:28.152892160,0,016,-1.0317050538722385,0.9629765011119567,6.416270363575161,-0.26000494048111117,-0.4834214252581311,0.3027350147848905,-3.7579077616038457,-1.8882063716700148,2
17,2024-09-24 12:26:28.230563072,0,016,-1.0606141612834143,0.9612427561804359,6.227714310009978,-0.18551386719970336,-0.4623943066363461,0.29507907599349037,-4.050957467827919,-1.8105205190037181,2
18,2024-09-24 12:26:28.301603072,0,016,-1.0879984356473813,0.956820643751485,6.018674667574884,-0.11056618104241495,-0.4487607549162646,0.28726705186478513,-4.279681062500209,-1.742686440887761,2
19,2024-09-24 12:26:29.243744000,0,016,-1.1128963503453686,0.949465970769023,5.794667443680446,-0.036772264620702794,-0.4421031791652993,0.2797736980545676,-4.438609410670142,-1.6860777853762352,2
20,2024-09-24 12:26:29.311597824,0,016,-1.1345051861153057,0.9390911376300145,5.562161625266511,0.034243732809869164,-0.44160522378534606,0.2729607187779871,-4.525357152929539,-1.6411733872630927,2
21,2024-09-24 12:26:29.379384064,0,016,-1.1521487781027933,0.9257690247341527,5.328693655724951,0.10085822746246864,-0.4462766331905109,0.2671056957623871,-4.538904940584957,-1.608157782902152,2
22,2024-09-24 12:26:29.436830976,0,016,-1.1652578494198522,0.9097205088627098,5.102697166209256,0.1614975902928992,-0.45517351054989336,0.2624326258722323,-4.478734094026156,-1.5873395264757326,2
23,2024-09-24 12:26:29.514813952,0,016,-1.173403954773038,0.8913039619987027,4.892986855872219,0.21470477589304127,-0.4675649232379237,0.2591386881217191,-4.345117252217561,-1.579246536197072,2
24,2024-09-24 12:26:29.580471040,0,016,-1.176362398972161,0.8710045028478004,4.70800812584704,0.2592025365181312,-0.48297322191062203,0.25740172721251625,-4.140123196414671,-1.584462708831676,2
25,2024-09-24 12:26:29.650571008,0,016,-1.1741567641606472,0.8494058749632132,4.555156597473061,0.29393933515900966,-0.5010675986512848,0.2573565057398153,-3.868625683844098,-1.6033524814202675,2
26,2024-09-24 12:26:30.581612032,0,016,-1.1670717070348604,0.8271435058949789,4.440312276317283,0.31813383572611953,-0.5214723995491783,0.2590436447659056,-3.5386099106061915,-1.6358177549904316,2
27,2024-09-24 12:26:30.658343936,0,016,-1.1556296047936847,0.8048543505537687,4.36746166056119,0.3313503777072885,-0.5435913370381087,0.26234943562046287,-3.160497885651674,-1.6811642244519058,2
28,2024-09-24 12:26:30.720829952,0,016,-1.1405169136536117,0.7831323916823905,4.338421773398368,0.3335842175055078,-0.5665224528010127,0.2669599422998613,-2.745939528005212,-1.7380626190446338,2
29,2024-09-24 12:26:30.782401024,0,016,-1.122475056565763,0.7624858898825715,4.352933684347363,0.3252787053698246,-0.5890768432860772,0.27234831209015303,-2.3066753029443063,-1.804589620173932,2
30,2024-09-24 12:26:30.864468992,0,016,-1.1021966513843577,0.7432951970224718,4.409186595040677,0.30723846712375824,-0.6098689249366513,0.27780468928664737,-1.853686116361216,-1.8783934758460494,2
31,2024-09-24 12:26:30.921569024,0,016,-1.0802369657606496,0.7257797074646596,4.504423244676159,0.2804908373720751,-0.6274309661030781,0.28250706715853285,-1.3967656596219915,-1.9569843005876033,2
32,2024-09-24 12:26:31.000043008,0,016,-1.0569224810228905,0.7099824085344217,4.635277600719111,0.2461630541783338,-0.6403220251561151,0.28562065327663544,-0.9446804290971054,-2.0380357788288053,2
33,2024-09-24 12:26:31.933545984,0,016,-1.03227276229449,0.6957730408900442,4.797845094577858,0.20539938653698697,-0.6472442782553968,0.2864046284103146,-0.5056484948934235,-2.119582673908629,2
34,2024-09-24 12:26:32.011204096,0,016,-1.0059876297670318,0.6828691859861937,4.987661920957634,0.15932601146865075,-0.6471786443344423,0.284298871305778,-0.08757902628363254,-2.2000735668396203,2
35,2024-09-24 12:26:32.073251072,0,016,-0.9775198358308279,0.6708779956934426,5.199700331793788,0.1090639778681562,-0.6394934803514538,0.27896817650286027,0.3020701050138856,-2.278272299773966,2
36,2024-09-24 12:26:32.135736064,0,016,-0.9461993184936579,0.6593561377662552,5.428456810495443,0.05575192282129993,-0.6239728016926614,0.27030333444933297,0.6564718364675898,-2.353039546890972,2
37,2024-09-24 12:26:32.214594048,0,016,-0.9113739742127719,0.6478714679681747,5.668195141806123,0.0005301119164338262,-0.6007845180007257,0.2583964740644507,0.9693592547266671,-2.423093569135782,2
38,2024-09-24 12:26:32.275559936,0,016,-0.8725623254452607,0.6360467507017229,5.913283186917018,-0.05551404995598503,-0.5704571790879603,0.2435056280510444,1.234798642880579,-2.48685132292066,2
39,2024-09-24 12:26:32.337577216,0,016,-0.8296026336076031,0.6235810667797058,6.158478725013037,-0.11139866338269463,-0.5338911057009172,0.22601596679527733,1.4471736204667378,-2.5423946203341865,2
40,2024-09-24 12:26:33.293968896,0,016,-0.7827440548661894,0.6102570117102598,6.399068204168702,-0.16626386688069814,-0.4923561713513466,0.20640413647280847,1.6016858481405132,-2.5875881435904593,2
41,2024-09-24 12:26:33.350848000,0,016,-0.7326394227606985,0.5959367390465798,6.6308456833476885,-0.2193452608567949,-0.4474227125182475,0.18520944342575746,1.695261543441181,-2.6203518187606476,2
42,2024-09-24 12:26:33.428955136,0,016,-0.6802628366333514,0.5805446226129563,6.849985663387725,-0.26992071258483746,-0.40083954039626274,0.1630110791322919,1.727383516566515,-2.6389996876893993,2
43,2024-09-24 12:26:33.490955008,0,016,-0.6268047041108316,0.5640443695982413,7.052892194231509,-0.3172594245995002,-0.35440528543310623,0.14040820042704943,1.7005084806722643,-2.6425210942194055,2
44,2024-09-24 12:26:33.563883008,0,016,-0.5735685747758053,0.5464258202016485,7.236058793417489,-0.3605960810260225,-0.30982871735080697,0.11799518387310114,1.6201336345354262,-2.6307589684114663,2
45,2024-09-24 12:26:33.633001984,0,016,-0.5218601456182835,0.5277025375376276,7.395927506154211,-0.3991319943415525,-0.26854329048846803,0.09632294868650476,1.4946947353167028,-2.604498552240624,2
46,2024-09-24 12:26:33.688464128,0,016,-0.47286536643708776,0.5079077944516434,7.528800809798918,-0.43205790757073553,-0.23150624897770683,0.07585077263569404,1.3353031189783144,-2.565455617798421,2
