,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id
0,2024-10-02 20:45:21.583760128,TASK_BEGIN,024,0.3299951760945043,-0.4431642166256982,2.6893603878929397,-0.31525980461385494,-0.18269134240200172,-0.13581402995665767,-0.3071572155289059,0.07531333590692767,3
1,2024-10-02 20:45:21.645762816,TASK_BEGIN,024,0.3182733389269836,-0.44546952120096717,3.0948886206833968,-0.20449876954129204,-0.11453567006405128,-0.12507058507539925,0.36016765301766446,-0.2043896546133169,3
2,2024-10-02 20:45:21.722183168,TASK_BEGIN,024,0.3080461563237406,-0.44783719845248954,3.4948608397195655,-0.09914269796788563,-0.049632323589123326,-0.11435563789172185,1.0017217388861566,-0.4750027830148935,3
3,2024-10-02 20:45:21.785316864,TASK_BEGIN,024,0.30062189990194027,-0.45051256906945075,3.8800860436158433,-0.002938083980259928,0.010789308436251432,-0.10397706727824889,1.5973781183853135,-0.7286609628008998,3
4,2024-10-02 20:45:21.857747968,TASK_BEGIN,024,0.2971129429788409,-0.4536944752264271,4.242708042460329,0.08104905826925363,0.06593594002490448,-0.09424450092713048,2.131794028794902,-0.9589250819960718,3
5,2024-10-02 20:45:21.925562112,TASK_BEGIN,024,0.2984000587959739,-0.45752542117175665,4.576741915842366,0.1506233529929722,0.115539878035746,-0.08546688562187994,2.5955140728079424,-1.1611399866186045,3
6,2024-10-02 20:45:21.986166016,TASK_BEGIN,024,0.3051232713212666,-0.4620942626445112,4.878419186935398,0.2045587096377402,0.15987710942805583,-0.07795430024119335,2.985178452013028,-1.3325484236218867,3
7,2024-10-02 20:45:22.921165056,TASK_BEGIN,024,0.3176690562056776,-0.46744467508238186,5.146392054420131,0.2425733560959657,0.1996953798450099,-0.072019190812516,3.3030513487386317,-1.4721857855304197,3
8,2024-10-02 20:45:22.998860032,TASK_BEGIN,024,0.3361425449503714,-0.4735839629041045,5.381778227290542,0.26518367830255773,0.23606465155476192,-0.06796902710409909,3.556067672011874,-1.5806137923076387,3
9,2024-10-02 20:45:23.071674112,TASK_BEGIN,024,0.3603343977602436,-0.4804894340349196,5.58795471954147,0.2735042372187073,0.2701967726117769,-0.0660862352049609,3.7544904083521486,-1.6595771205943854,3
10,2024-10-02 20:45:23.139438080,TASK_BEGIN,024,0.389697367969675,-0.4881109238939587,5.770032083905518,0.26907718775561745,0.30328427645239736,-0.06659960028832834,3.910328331062334,-1.7116671370579664,3
