,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,states,continuous_optimal,binary_optimal,discrete_optimal
11,11,2024-09-20 21:27:22.538479104,TASK_BEGIN,14,-1.952243900578948,0.9120524484020808,3.6026409768207657,0.1346681506819853,-1.4830792353770663,0.7561582610589852,-0.6033801273734042,-0.5313345767642705,1,2024-09-20 21:27:24.721969971,1726867644.72197,2024-09-20 21:27:24.721970176,0,1.0,0.1,2.6029962661171973,[0. 1.],[0.51015666 0.48984334],"[ 0.58333333  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.41796875 -0.8         0.5       ]",0.8495196886499785,0,0
12,12,2024-09-20 21:27:22.606249984,TASK_BEGIN,14,-2.015821292159567,0.9720970659068228,3.585306887806484,0.0902882429471573,-1.512343281438747,0.7722841182692847,-0.8112844789388123,-0.4894197860404839,1,2024-09-20 21:27:24.721969971,1726867644.72197,2024-09-20 21:27:24.721970176,0,1.0,0.1,2.6029962661171973,[0. 1.],[0.51015666 0.48984334],"[ 0.58333333  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.41796875 -0.8         0.5       ]",0.8495196886499785,0,0
13,13,2024-09-20 21:27:22.674025216,TASK_BEGIN,14,-2.0763912457136344,1.033615429649477,3.562324738883127,0.0469728959676547,-1.5435189172209596,0.7878668950012637,-1.0045128055831192,-0.432824787782936,1,2024-09-20 21:27:24.721969971,1726867644.72197,2024-09-20 21:27:24.721970176,0,1.0,0.1,2.6029962661171973,[0. 1.],[0.51015666 0.48984334],"[ 0.58333333  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.41796875 -0.8         0.5       ]",0.8495196886499785,0,0
14,14,2024-09-20 21:27:23.617392128,TASK_BEGIN,14,-2.133288773409175,1.0961178502341289,3.547692302770023,0.0024563863046415,-1.57581123610914,0.8030032843040988,-1.1718719444732408,-0.367043162582018,1,2024-09-20 21:27:25.680512939,1726867645.6805139,2024-09-20 21:27:25.680513792,0,1.0,0.1,3.8888276046713495,[0. 1.],[0.95533858 0.04466142],"[ 0.31944444  0.33203125  0.52734375  0.81944444  0.2734375   0.46875
  1.          0.          1.          0.41992188 -0.8         0.5       ]",0.9790139596013155,0,0
15,15,2024-09-20 21:27:23.674983936,TASK_BEGIN,14,-2.185685943182041,1.1590092584499987,3.553152346303886,-0.0452016822599524,-1.6081237325620752,0.817710335933541,-1.3038578689431797,-0.2973531248697471,1,2024-09-20 21:27:25.680512939,1726867645.6805139,2024-09-20 21:27:25.680513792,0,1.0,0.1,3.8888276046713495,[0. 1.],[0.95533858 0.04466142],"[ 0.31944444  0.33203125  0.52734375  0.81944444  0.2734375   0.46875
  1.          0.          1.          0.41992188 -0.8         0.5       ]",0.9790139596013155,0,0
16,16,2024-09-20 21:27:23.742131200,TASK_BEGIN,14,-2.232669472474456,1.2216009782224455,3.588022439927915,-0.0975525531878434,-1.639212655124035,0.8319162563602835,-1.393434846949732,-0.2286977844917716,1,2024-09-20 21:27:26.490653076,1726867646.4906533,2024-09-20 21:27:26.490653184,0,0.0,0.1,5.6611311824969315,[1. 0.],[0.95827511 0.04172489],"[ 0.09722222  0.33203125  0.52734375  0.59722222  0.2734375   0.46875
  1.          0.          1.          0.43554688  0.8        -0.03333333]",0.8611551167959502,0,0
17,17,2024-09-20 21:27:23.814724096,TASK_BEGIN,14,-2.273344717442999,1.2831472356232576,3.659017203579296,-0.1556993115883791,-1.6678506447813797,0.8454634723412292,-1.4364119601406606,-0.165621411105786,1,2024-09-20 21:27:26.541806885,1726867646.541808,2024-09-20 21:27:26.541807872,0,1.0,0.1,5.7045198706719615,[0. 1.],[0.49949741 0.50050259],"[ 0.08333333  0.33203125  0.52734375  0.58333333  0.2734375   0.46875
  1.          0.          1.          0.41992188 -0.8         0.5       ]",0.8971893742958529,0,0
18,18,2024-09-20 21:27:23.876804096,TASK_BEGIN,14,-2.3069210436904144,1.3428957493021394,3.76982697393507,-0.2202247630548216,-1.692964665346756,0.8581252002078211,-1.4316022235414678,-0.1121476242146685,1,2024-09-20 21:27:26.592750000,1726867646.5927505,2024-09-20 21:27:26.592750592,0,1.0,0.1,5.747474671965241,[0. 1.],[0.82594866 0.17405134],"[ 0.06944444  0.33203125  0.52734375  0.56944444  0.2734375   0.46875
  1.          0.          1.          0.40429688 -0.8         0.5       ]",0.9513594478878459,0,0
19,19,2024-09-20 21:27:23.954653184,TASK_BEGIN,14,-2.3327787541634333,1.4001431721640112,3.920622494985255,-0.2911330050025337,-1.7137153822460032,0.8696303985042638,-1.380800412600465,-0.0716197743801498,1,2024-09-20 21:27:26.592750000,1726867646.5927505,2024-09-20 21:27:26.592750592,0,1.0,0.1,5.747474671965241,[0. 1.],[0.82594866 0.17405134],"[ 0.06944444  0.33203125  0.52734375  0.56944444  0.2734375   0.46875
  1.          0.          1.          0.40429688 -0.8         0.5       ]",0.9513594478878459,0,0
20,20,2024-09-20 21:27:24.023936000,TASK_BEGIN,14,-2.350542461000173,1.454292204292752,4.107912058420168,-0.3678404216319078,-1.7294940293485082,0.8796877047212566,-1.2885224421204626,-0.0465761594777057,1,2024-09-20 21:27:26.592750000,1726867646.5927505,2024-09-20 21:27:26.592750592,0,1.0,0.1,5.747474671965241,[0. 1.],[0.82594866 0.17405134],"[ 0.06944444  0.33203125  0.52734375  0.56944444  0.2734375   0.46875
  1.          0.          1.          0.40429688 -0.8         0.5       ]",0.9513594478878459,0,0
